城市,AQI,PM2.5,PM10,O3,NO2,SO2,CO,空气质量等级,空气质量描述,爬取时间
阳泉,147,147,65,10.6,11.0,3.6,6.4,轻度污染,轻度污染,2026-01-02 16:38:00
长治,169,169,65,15.9,9.6,7.1,8.2,中度污染,中度污染,2026-01-02 16:38:03
晋城,172,172,150,15.5,10.6,2.1,11.8,中度污染,中度污染,2026-01-02 16:38:06
朔州,61,61,37,4.9,9.6,5.6,4.6,良,空气质量良好,2026-01-02 16:38:10
晋中,190,190,99,4.1,17.0,9.7,10.0,中度污染,中度污染,2026-01-02 16:38:13
运城,173,173,77,19.5,8.7,2.6,7.3,中度污染,中度污染,2026-01-02 16:38:16
忻州,119,119,49,2.5,14.2,8.2,10.0,轻度污染,轻度污染,2026-01-02 16:38:19
临汾,171,171,83,25.2,10.6,3.1,11.8,中度污染,中度污染,2026-01-02 16:38:23
包头,177,177,103,19.9,29.3,50.6,43.4,中度污染,中度污染,2026-01-02 16:38:29
乌海,95,95,53,17.9,18.8,28.9,9.1,良,空气质量良好,2026-01-02 16:38:33
赤峰,114,114,60,21.2,23.4,27.4,15.4,轻度污染,轻度污染,2026-01-02 16:38:36
通辽,46,46,30,2.1,7.4,6.6,3.7,优,空气质量优,2026-01-02 16:38:39
鄂尔多斯,50,50,16,19.9,7.8,4.6,3.7,优,空气质量优,2026-01-02 16:38:43
沈阳,152,152,55,4.1,21.5,8.2,7.3,中度污染,中度污染,2026-01-02 16:39:07
大连,68,68,27,10.6,7.4,4.1,3.7,良,空气质量良好,2026-01-02 16:39:10
鞍山,85,85,48,13.5,16.5,11.7,12.7,良,空气质量良好,2026-01-02 16:39:13
抚顺,151,151,69,3.3,16.0,8.2,17.2,中度污染,中度污染,2026-01-02 16:39:16
本溪,154,154,65,5.3,16.5,13.2,23.5,中度污染,中度污染,2026-01-02 16:39:20
丹东,70,70,26,13.0,6.9,4.1,5.5,良,空气质量良好,2026-01-02 16:39:23
锦州,127,127,58,2.9,19.7,14.7,10.0,轻度污染,轻度污染,2026-01-02 16:39:26
营口,70,70,42,8.6,7.4,6.6,10.0,良,空气质量良好,2026-01-02 16:39:30
阜新,87,87,54,14.3,8.7,12.2,5.5,良,空气质量良好,2026-01-02 16:39:33
辽阳,117,117,56,11.8,6.9,6.6,10.0,轻度污染,轻度污染,2026-01-02 16:39:36
铁岭,158,158,66,13.0,26.1,5.6,9.1,中度污染,中度污染,2026-01-02 16:39:39
朝阳,72,72,40,2.1,8.3,5.1,6.4,良,空气质量良好,2026-01-02 16:39:42
盘锦,61,61,35,9.0,8.3,10.2,6.4,良,空气质量良好,2026-01-02 16:39:46
葫芦岛,68,68,47,3.3,8.3,7.6,6.4,良,空气质量良好,2026-01-02 16:39:49
长春,114,114,57,2.5,10.1,5.1,5.5,轻度污染,轻度污染,2026-01-02 16:39:53
吉林,78,78,38,9.0,7.8,8.7,10.9,良,空气质量良好,2026-01-02 16:39:57
四平,153,153,55,8.6,16.5,6.1,4.6,中度污染,中度污染,2026-01-02 16:40:00
辽源,85,85,50,4.1,6.4,2.1,6.4,良,空气质量良好,2026-01-02 16:40:04
通化,72,72,40,4.5,6.4,2.6,1.9,良,空气质量良好,2026-01-02 16:40:08
白山,61,61,32,8.6,4.6,6.1,5.5,良,空气质量良好,2026-01-02 16:40:11
松原,70,70,27,4.5,7.4,5.1,3.7,良,空气质量良好,2026-01-02 16:40:14
白城,57,57,38,7.0,7.4,2.1,3.7,良,空气质量良好,2026-01-02 16:40:17
哈尔滨,102,102,53,9.8,10.1,6.1,5.5,轻度污染,轻度污染,2026-01-02 16:40:23
齐齐哈尔,68,68,44,16.7,7.8,4.1,4.6,良,空气质量良好,2026-01-02 16:40:26
鸡西,134,134,50,20.8,1.9,2.6,1.6,轻度污染,轻度污染,2026-01-02 16:40:30
鹤岗,78,78,67,21.2,23.4,6.1,5.5,良,空气质量良好,2026-01-02 16:40:33
双鸭山,91,91,45,16.7,10.1,4.1,6.4,良,空气质量良好,2026-01-02 16:40:36
大庆,87,87,46,15.5,11.9,5.6,4.6,良,空气质量良好,2026-01-02 16:40:39
伊春,59,59,27,25.6,4.6,6.1,4.6,良,空气质量良好,2026-01-02 16:40:43
佳木斯,59,59,27,16.3,8.7,3.1,7.3,良,空气质量良好,2026-01-02 16:40:45
牡丹江,61,61,31,15.5,4.2,2.1,3.7,良,空气质量良好,2026-01-02 16:40:52
黑河,25,25,12,22.8,3.2,3.6,3.3,优,空气质量优,2026-01-02 16:40:56
绥化,162,162,68,13.0,12.8,2.6,7.3,中度污染,中度污染,2026-01-02 16:40:59
上海,59,59,26,28.1,6.4,3.1,4.6,良,空气质量良好,2026-01-02 16:41:06
南京,65,65,27,27.7,5.5,3.1,4.6,良,空气质量良好,2026-01-02 16:41:10
无锡,65,65,34,27.3,9.2,4.6,6.4,良,空气质量良好,2026-01-02 16:41:12
徐州,74,74,42,24.4,10.6,6.1,3.7,良,空气质量良好,2026-01-02 16:41:16
常州,65,65,31,29.3,9.2,2.1,3.7,良,空气质量良好,2026-01-02 16:41:19
苏州,74,74,36,30.1,10.1,5.6,8.2,良,空气质量良好,2026-01-02 16:41:22
南通,59,59,26,26.9,7.4,1.6,1.9,良,空气质量良好,2026-01-02 16:41:25
连云港,72,72,29,23.6,3.7,5.1,6.4,良,空气质量良好,2026-01-02 16:41:29
淮安,76,76,31,29.3,6.0,3.6,1.9,良,空气质量良好,2026-01-02 16:41:32
盐城,65,65,26,24.0,4.6,3.6,5.5,良,空气质量良好,2026-01-02 16:41:35
扬州,63,63,25,29.3,3.7,2.1,4.6,良,空气质量良好,2026-01-02 16:41:38
镇江,61,61,26,27.7,6.9,3.6,5.5,良,空气质量良好,2026-01-02 16:41:42
宿迁,93,93,43,30.1,3.7,3.1,4.6,良,空气质量良好,2026-01-02 16:41:49
杭州,155,155,61,55.8,5.5,5.1,5.5,中度污染,中度污染,2026-01-02 16:41:52
宁波,91,91,44,0.0,6.9,4.1,4.6,良,空气质量良好,2026-01-02 16:41:55
温州,53,53,24,9.8,4.6,2.1,2.8,良,空气质量良好,2026-01-02 16:41:58
嘉兴,159,159,47,32.5,39.8,4.6,5.5,中度污染,中度污染,2026-01-02 16:42:01
湖州,109,109,53,78.0,7.8,5.1,3.7,轻度污染,轻度污染,2026-01-02 16:42:04
绍兴,158,158,69,32.5,10.1,4.6,6.4,中度污染,中度污染,2026-01-02 16:42:08
金华,78,78,32,0.0,5.5,0.6,3.7,良,空气质量良好,2026-01-02 16:42:12
衢州,59,59,20,0.0,3.7,2.1,1.0,良,空气质量良好,2026-01-02 16:42:15
丽水,38,38,29,0.0,4.2,2.1,1.9,优,空气质量优,2026-01-02 16:42:26
合肥,151,151,59,22.8,6.9,3.1,6.4,中度污染,中度污染,2026-01-02 16:42:32
芜湖,153,153,61,25.2,11.9,4.6,4.6,中度污染,中度污染,2026-01-02 16:42:36
蚌埠,76,76,40,19.1,6.4,3.1,2.8,良,空气质量良好,2026-01-02 16:42:40
淮南,156,156,72,0.0,26.6,3.1,4.6,中度污染,中度污染,2026-01-02 16:42:43
马鞍山,95,95,53,24.8,11.0,5.1,7.3,良,空气质量良好,2026-01-02 16:42:46
淮北,93,93,52,21.6,11.5,5.1,3.7,良,空气质量良好,2026-01-02 16:42:49
铜陵,152,152,65,23.6,8.3,4.1,3.7,中度污染,中度污染,2026-01-02 16:42:52
安庆,112,112,47,22.8,6.0,2.1,5.5,轻度污染,轻度污染,2026-01-02 16:42:55
黄山,61,61,22,27.7,2.8,2.1,2.8,良,空气质量良好,2026-01-02 16:42:58
滁州,50,50,26,24.4,5.5,2.6,3.7,优,空气质量优,2026-01-02 16:43:01
阜阳,109,109,61,17.9,16.0,3.1,6.4,轻度污染,轻度污染,2026-01-02 16:43:04
亳州,144,144,59,18.7,10.6,4.1,4.6,轻度污染,轻度污染,2026-01-02 16:43:14
池州,149,149,56,19.1,6.0,1.6,3.7,轻度污染,轻度污染,2026-01-02 16:43:17
宣城,152,152,65,22.4,10.6,2.6,4.6,中度污染,中度污染,2026-01-02 16:43:20
福州,38,38,23,0.0,6.4,2.6,3.7,优,空气质量优,2026-01-02 16:43:23
厦门,50,50,24,28.9,2.8,1.1,10.0,优,空气质量优,2026-01-02 16:43:26
莆田,53,53,24,30.5,5.5,2.1,4.6,良,空气质量良好,2026-01-02 16:43:30
三明,59,59,20,28.5,3.2,2.1,4.6,良,空气质量良好,2026-01-02 16:43:32
泉州,53,53,40,30.9,5.5,2.6,4.6,良,空气质量良好,2026-01-02 16:43:37
漳州,68,68,26,22.0,0.5,2.6,2.5,良,空气质量良好,2026-01-02 16:43:40
南平,42,42,28,30.9,3.2,3.6,3.7,优,空气质量优,2026-01-02 16:43:43
龙岩,25,25,22,32.9,2.8,2.6,3.7,优,空气质量优,2026-01-02 16:43:46
宁德,34,34,19,24.4,5.5,4.1,3.7,优,空气质量优,2026-01-02 16:43:50
南昌,107,107,52,28.9,8.3,3.6,4.6,轻度污染,轻度污染,2026-01-02 16:43:53
景德镇,76,76,21,32.9,1.9,3.6,6.2,良,空气质量良好,2026-01-02 16:43:56
萍乡,82,82,35,24.4,6.9,4.1,6.4,良,空气质量良好,2026-01-02 16:43:59
九江,89,89,33,38.2,6.0,2.1,5.5,良,空气质量良好,2026-01-02 16:44:02
新余,63,63,23,24.4,2.8,3.1,2.9,良,空气质量良好,2026-01-02 16:44:08
鹰潭,57,57,16,22.0,5.1,5.1,3.7,良,空气质量良好,2026-01-02 16:44:12
赣州,61,61,26,28.9,6.4,1.6,5.6,良,空气质量良好,2026-01-02 16:44:16
吉安,61,61,27,28.9,4.6,4.6,3.8,良,空气质量良好,2026-01-02 16:44:19
上饶,28,25,17,28.1,3.7,3.1,6.4,优,空气质量优,2026-01-02 16:44:29
济南,42,42,27,26.4,5.5,3.1,0.1,优,空气质量优,2026-01-02 16:44:32
青岛,82,82,42,26.4,6.9,6.6,0.1,良,空气质量良好,2026-01-02 16:44:36
淄博,30,30,19,28.1,7.4,5.1,0.1,优,空气质量优,2026-01-02 16:44:39
枣庄,109,109,59,29.3,10.6,7.6,0.1,轻度污染,轻度污染,2026-01-02 16:44:43
东营,65,65,36,24.0,10.6,4.1,0.1,良,空气质量良好,2026-01-02 16:44:46
烟台,65,65,27,26.0,6.4,1.6,0.1,良,空气质量良好,2026-01-02 16:44:49
潍坊,87,87,44,25.6,10.6,5.6,0.1,良,空气质量良好,2026-01-02 16:44:52
济宁,91,91,39,28.5,7.8,3.1,0.1,良,空气质量良好,2026-01-02 16:44:56
泰安,80,80,40,23.2,7.8,2.1,0.1,良,空气质量良好,2026-01-02 16:44:59
威海,82,82,40,27.7,6.4,3.6,0.1,良,空气质量良好,2026-01-02 16:45:03
日照,61,61,25,27.3,4.6,4.1,0.1,良,空气质量良好,2026-01-02 16:45:06
临沂,93,93,36,28.1,10.6,6.1,0.1,良,空气质量良好,2026-01-02 16:45:10
德州,76,76,47,24.8,11.0,6.6,0.1,良,空气质量良好,2026-01-02 16:45:13
聊城,61,61,27,26.0,10.6,5.6,0.1,良,空气质量良好,2026-01-02 16:45:16
滨州,50,50,25,26.0,9.2,3.1,0.1,优,空气质量优,2026-01-02 16:45:19
菏泽,85,85,49,31.3,7.4,3.1,0.1,良,空气质量良好,2026-01-02 16:45:23
深圳,50,50,40,41.9,10.6,3.6,4.6,优,空气质量优,2026-01-02 16:45:31
珠海,65,65,30,48.0,11.5,2.6,3.7,良,空气质量良好,2026-01-02 16:45:35
汕头,55,55,23,33.3,5.1,2.6,6.4,良,空气质量良好,2026-01-02 16:45:38
佛山,36,13,25,36.2,8.7,3.6,5.5,优,空气质量优,2026-01-02 16:45:42
韶关,42,42,11,29.7,4.6,3.1,3.7,优,空气质量优,2026-01-02 16:45:46
湛江,82,82,37,40.7,8.3,7.1,5.5,良,空气质量良好,2026-01-02 16:45:50
肇庆,38,38,15,32.5,6.9,3.6,5.5,优,空气质量优,2026-01-02 16:45:54
江门,55,55,20,41.5,10.1,4.1,2.8,良,空气质量良好,2026-01-02 16:45:57
茂名,61,61,27,43.5,6.4,5.1,7.3,良,空气质量良好,2026-01-02 16:46:01
惠州,50,50,19,34.6,5.1,4.1,4.6,优,空气质量优,2026-01-02 16:46:05
梅州,34,34,17,28.5,4.6,3.6,3.7,优,空气质量优,2026-01-02 16:46:08
汕尾,33,25,18,32.9,4.6,2.6,4.6,优,空气质量优,2026-01-02 16:46:12
河源,38,38,19,33.3,3.7,3.1,3.7,优,空气质量优,2026-01-02 16:46:16
阳江,55,55,38,37.8,5.1,4.6,4.6,良,空气质量良好,2026-01-02 16:46:20
清远,53,53,13,34.2,5.1,4.1,4.6,良,空气质量良好,2026-01-02 16:46:24
东莞,40,34,14,39.8,7.4,4.1,4.6,优,空气质量优,2026-01-02 16:46:28
中山,42,42,30,41.1,10.1,3.6,3.7,优,空气质量优,2026-01-02 16:46:33
潮州,57,57,27,26.0,4.6,2.1,1.0,良,空气质量良好,2026-01-02 16:46:37
揭阳,29,25,24,28.9,5.1,4.1,4.6,优,空气质量优,2026-01-02 16:46:43
云浮,95,95,61,0.0,28.8,6.1,8.2,良,空气质量良好,2026-01-02 16:46:47
南宁,50,50,23,26.9,5.5,2.6,5.5,优,空气质量优,2026-01-02 16:46:52
柳州,70,70,40,23.2,5.5,4.1,4.6,良,空气质量良好,2026-01-02 16:46:56
桂林,38,38,18,26.4,2.8,3.1,1.9,优,空气质量优,2026-01-02 16:47:01
梧州,46,46,15,1.7,0.5,3.1,3.7,优,空气质量优,2026-01-02 16:47:05
北海,72,72,31,54.5,6.4,3.6,6.4,良,空气质量良好,2026-01-02 16:47:10
钦州,72,72,38,22.4,7.4,1.6,9.1,良,空气质量良好,2026-01-02 16:47:19
贵港,65,65,27,19.1,5.1,1.6,5.5,良,空气质量良好,2026-01-02 16:47:23
玉林,53,53,21,38.2,3.2,0.6,6.4,良,空气质量良好,2026-01-02 16:47:28
百色,38,38,11,35.8,5.1,3.1,6.4,优,空气质量优,2026-01-02 16:47:33
来宾,169,169,80,1.3,19.7,5.1,8.2,中度污染,中度污染,2026-01-02 16:47:46
海口,57,57,30,19.5,4.6,3.1,3.7,良,空气质量良好,2026-01-02 16:47:55
三亚,127,127,47,38.2,4.2,2.1,5.5,轻度污染,轻度污染,2026-01-02 16:47:59
儋州,76,76,37,20.8,3.2,2.6,5.5,良,空气质量良好,2026-01-02 16:48:08
五指山,53,53,24,17.9,6.9,2.1,3.9,良,空气质量良好,2026-01-02 16:48:13
琼海,112,112,52,25.6,5.5,2.6,6.4,轻度污染,轻度污染,2026-01-02 16:48:18
文昌,82,82,50,27.3,5.1,2.6,6.3,良,空气质量良好,2026-01-02 16:48:22
万宁,107,107,58,20.8,8.3,2.1,6.8,轻度污染,轻度污染,2026-01-02 16:48:27
东方,91,91,51,40.7,4.2,1.6,3.7,良,空气质量良好,2026-01-02 16:48:31
澄迈,97,97,48,20.4,4.2,2.1,5.6,良,空气质量良好,2026-01-02 16:48:43
临高,104,104,44,20.8,3.2,2.1,7.1,轻度污染,轻度污染,2026-01-02 16:48:47
武汉,99,99,44,0.0,4.6,3.6,6.4,良,空气质量良好,2026-01-02 16:49:16
黄石,72,72,27,0.0,5.1,3.1,9.1,良,空气质量良好,2026-01-02 16:49:21
十堰,158,158,58,0.0,6.4,3.6,8.2,中度污染,中度污染,2026-01-02 16:49:26
宜昌,122,122,57,0.0,12.4,2.1,6.4,轻度污染,轻度污染,2026-01-02 16:49:30
襄阳,167,167,77,0.0,10.6,3.6,8.2,中度污染,中度污染,2026-01-02 16:49:34
鄂州,68,68,30,0.0,6.9,2.6,4.6,良,空气质量良好,2026-01-02 16:49:39
荆门,167,167,71,0.0,8.7,1.1,5.5,中度污染,中度污染,2026-01-02 16:49:43
孝感,132,132,49,0.0,5.5,2.1,5.5,轻度污染,轻度污染,2026-01-02 16:49:49
荆州,159,159,60,0.0,6.0,2.6,6.4,中度污染,中度污染,2026-01-02 16:49:54
黄冈,76,76,29,0.0,3.2,2.6,4.6,良,空气质量良好,2026-01-02 16:49:59
咸宁,97,97,38,0.0,6.9,2.6,8.2,良,空气质量良好,2026-01-02 16:50:04
随州,154,154,57,0.0,4.6,1.6,9.1,中度污染,中度污染,2026-01-02 16:50:09
长沙,122,122,51,16.3,8.7,1.6,4.6,轻度污染,轻度污染,2026-01-02 16:50:38
株洲,147,147,50,17.5,9.2,1.1,4.6,轻度污染,轻度污染,2026-01-02 16:50:42
湘潭,139,139,52,15.1,9.6,0.6,7.3,轻度污染,轻度污染,2026-01-02 16:50:46
衡阳,93,93,44,13.0,6.9,3.1,7.3,良,空气质量良好,2026-01-02 16:50:50
邵阳,97,97,33,13.9,6.4,4.1,9.1,良,空气质量良好,2026-01-02 16:50:55
岳阳,127,127,51,18.3,11.0,6.1,8.2,轻度污染,轻度污染,2026-01-02 16:51:02
常德,158,158,57,13.5,6.9,2.1,5.5,中度污染,中度污染,2026-01-02 16:51:06
张家界,149,149,40,17.5,5.1,4.1,3.7,轻度污染,轻度污染,2026-01-02 16:51:15
益阳,122,122,49,9.4,5.5,3.1,6.4,轻度污染,轻度污染,2026-01-02 16:51:20
郴州,107,107,41,15.9,7.8,1.1,3.7,轻度污染,轻度污染,2026-01-02 16:51:28
永州,102,102,33,18.7,5.5,1.6,3.7,轻度污染,轻度污染,2026-01-02 16:51:34
怀化,127,127,50,21.2,5.1,4.6,5.5,轻度污染,轻度污染,2026-01-02 16:51:38
娄底,109,109,52,14.3,4.6,1.1,4.6,轻度污染,轻度污染,2026-01-02 16:51:43
成都,63,63,40,24.8,10.1,1.1,4.6,良,空气质量良好,2026-01-02 16:51:54
自贡,178,178,112,2.9,27.5,3.6,8.2,中度污染,中度污染,2026-01-02 16:52:00
攀枝花,85,85,37,14.3,8.3,9.7,11.8,良,空气质量良好,2026-01-02 16:52:04
泸州,85,85,34,11.4,9.6,4.1,8.2,良,空气质量良好,2026-01-02 16:52:09
德阳,89,89,40,22.0,8.7,1.6,6.4,良,空气质量良好,2026-01-02 16:52:16
绵阳,102,102,32,30.9,8.3,5.6,5.5,轻度污染,轻度污染,2026-01-02 16:52:22
广元,93,93,41,27.7,11.0,1.6,7.3,良,空气质量良好,2026-01-02 16:52:30
遂宁,55,55,19,22.0,7.8,3.6,4.6,良,空气质量良好,2026-01-02 16:52:34
内江,76,76,30,6.5,10.1,1.6,5.5,良,空气质量良好,2026-01-02 16:52:40
乐山,89,89,32,7.8,10.1,3.6,5.5,良,空气质量良好,2026-01-02 16:52:45
南充,80,80,34,19.5,11.9,2.6,4.6,良,空气质量良好,2026-01-02 16:52:53
眉山,82,82,40,16.3,11.5,3.6,5.5,良,空气质量良好,2026-01-02 16:53:02
宜宾,78,78,29,14.7,10.1,4.1,7.3,良,空气质量良好,2026-01-02 16:53:11
达州,61,61,25,21.2,7.4,2.1,3.7,良,空气质量良好,2026-01-02 16:53:20
巴中,46,25,20,46.3,3.7,2.1,2.8,优,空气质量优,2026-01-02 16:53:30
资阳,80,80,26,22.0,5.5,1.6,6.4,良,空气质量良好,2026-01-02 16:53:37
凉山彝族自治州,37,17,12,36.6,3.2,5.6,6.4,优,空气质量优,2026-01-02 16:53:53
贵阳,72,72,29,19.1,4.6,2.6,3.7,良,空气质量良好,2026-01-02 16:54:01
遵义,93,93,40,27.3,5.5,2.1,1.9,良,空气质量良好,2026-01-02 16:54:12
昆明,25,25,22,3.3,3.7,1.1,1.0,优,空气质量优,2026-01-02 16:54:42
曲靖,63,63,26,20.8,3.7,2.1,4.6,良,空气质量良好,2026-01-02 16:54:51
玉溪,34,34,17,12.6,3.2,1.1,3.7,优,空气质量优,2026-01-02 16:54:56
昭通,38,38,29,20.8,7.4,2.1,6.4,优,空气质量优,2026-01-02 16:55:05
丽江,55,55,13,20.4,4.2,3.1,4.6,良,空气质量良好,2026-01-02 16:55:09
红河哈尼族彝族自治州,114,114,46,22.0,4.6,3.6,4.6,轻度污染,轻度污染,2026-01-02 16:55:27
文山壮族苗族自治州,46,46,15,19.5,1.9,2.6,4.6,优,空气质量优,2026-01-02 16:55:34
大理白族自治州,38,38,10,19.1,1.4,4.1,4.6,优,空气质量优,2026-01-02 16:55:45
拉萨,50,50,12,18.3,3.2,3.6,3.7,优,空气质量优,2026-01-02 16:56:03
那曲,34,34,34,6.1,2.3,4.1,4.6,优,空气质量优,2026-01-02 16:56:31
那曲市,34,34,34,6.1,2.3,4.1,4.6,优,空气质量优,2026-01-02 16:57:00
阿里地区,33,0,33,23.0,11.3,6.1,0.0,优,空气质量优,2026-01-02 16:57:05
西安,179,179,74,15.1,8.7,1.1,13.6,中度污染,中度污染,2026-01-02 16:57:10
铜川,203,203,84,17.9,17.0,1.6,10.4,重度污染,重度污染,2026-01-02 16:57:19
宝鸡,175,175,73,18.7,14.2,3.1,8.3,中度污染,中度污染,2026-01-02 16:57:28
咸阳,189,189,90,17.5,12.4,1.1,10.8,中度污染,中度污染,2026-01-02 16:57:34
渭南,177,177,78,21.6,11.9,2.1,10.0,中度污染,中度污染,2026-01-02 16:57:41
延安,55,55,27,35.0,15.6,6.1,5.8,良,空气质量良好,2026-01-02 16:57:48
汉中,112,112,37,24.4,6.4,2.1,4.9,轻度污染,轻度污染,2026-01-02 16:57:56
榆林,53,53,21,38.2,3.2,0.6,6.4,良,空气质量良好,2026-01-02 16:58:02
安康,117,117,40,26.0,4.2,2.1,5.5,轻度污染,轻度污染,2026-01-02 16:58:07
兰州,76,76,38,0.0,17.9,2.6,7.3,良,空气质量良好,2026-01-02 16:58:19
嘉峪关,158,158,64,24.0,11.9,6.1,19.0,中度污染,中度污染,2026-01-02 16:58:25
金昌,79,78,79,48.4,13.3,5.1,3.7,良,空气质量良好,2026-01-02 16:58:34
白银,152,152,58,25.2,8.7,3.6,6.4,中度污染,中度污染,2026-01-02 16:58:41
天水,153,153,72,1.3,22.4,8.2,14.5,中度污染,中度污染,2026-01-02 16:58:48
武威,171,171,71,3.7,6.4,4.1,6.4,中度污染,中度污染,2026-01-02 16:58:57
张掖,132,132,45,13.0,10.1,7.6,8.2,轻度污染,轻度污染,2026-01-02 16:59:06
平凉,129,129,50,20.4,9.6,4.6,7.3,轻度污染,轻度污染,2026-01-02 16:59:11
庆阳,65,65,31,26.0,5.5,2.1,0.1,良,空气质量良好,2026-01-02 16:59:25
临夏回族自治州,183,183,102,6.5,16.0,2.6,13.6,中度污染,中度污染,2026-01-02 16:59:40
