Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): CLINICAL MEDICINE   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"32","MEMORIAL SLOAN KETTERING CANCER CENTER","USA","19623","1091577","55.63","1549"
"33","UNIVERSITY OF CALIFORNIA LOS ANGELES","USA","29328","1086628","37.05","1236"
"34","US DEPARTMENT OF VETERANS AFFAIRS","USA","34046","1072043","31.49","1037"
"35","UNIVERSITY OF PITTSBURGH","USA","32076","1057795","32.98","1101"
"36","KAROLINSKA INSTITUTET","SWEDEN","32753","1041697","31.80","1054"
"37","VETERANS HEALTH ADMINISTRATION (VHA)","USA","32871","1033944","31.45","1005"
"38","UNIVERSITY OF AMSTERDAM","NETHERLANDS","28696","1012909","35.30","1079"
"39","COLUMBIA UNIVERSITY","USA","27322","1012204","37.05","1174"
"40","YALE UNIVERSITY","USA","27406","1010999","36.89","1287"
"41","UNIVERSITY OF COPENHAGEN","DENMARK","30996","994313","32.08","1068"
"42","EMORY UNIVERSITY","USA","26205","972081","37.10","1081"
"43","UNIVERSITY OF COLORADO SYSTEM","USA","26541","945100","35.61","1105"
"44","UNIVERSITY OF MELBOURNE","AUSTRALIA","28025","912000","32.54","973"
"45","NORTHWESTERN UNIVERSITY","USA","25220","910333","36.10","1106"
"46","UNIVERSITY OF NORTH CAROLINA","USA","28689","904787","31.54","1007"
"47","CIBER - CENTRO DE INVESTIGACION BIOMEDICA EN RED","SPAIN","24015","889293","37.03","1110"
"48","DANA-FARBER CANCER INSTITUTE","USA","14589","887251","60.82","1369"
"49","ERASMUS UNIVERSITY ROTTERDAM","NETHERLANDS","25263","873124","34.56","948"
"50","WASHINGTON UNIVERSITY (WUSTL)","USA","23219","873006","37.60","1042"
"51","CLEVELAND CLINIC FOUNDATION","USA","27107","872729","32.20","1062"
"52","CORNELL UNIVERSITY","USA","23920","867286","36.26","1106"
"53","RUPRECHT KARLS UNIVERSITY HEIDELBERG","GERMANY (FED REP GER)","25159","859431","34.16","926"
"54","ERASMUS MC","NETHERLANDS","24279","852666","35.12","919"
"55","VANDERBILT UNIVERSITY","USA","22744","844237","37.12","1055"
"56","UNICANCER","FRANCE","19723","839637","42.57","1168"
"57","ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI","USA","24086","831191","34.51","1112"
"58","KING'S COLLEGE LONDON","ENGLAND","22596","826595","36.58","956"
"59","MONASH UNIVERSITY","AUSTRALIA","24870","820216","32.98","826"
"60","UNIVERSITY OF CALIFORNIA SAN DIEGO","USA","21402","806369","37.68","1027"
"61","OHIO STATE UNIVERSITY","USA","26016","799748","30.74","881"
"62","UNIVERSITY OF NORTH CAROLINA CHAPEL HILL","USA","23987","798610","33.29","927"
"63","UNIVERSITY OF BARCELONA","SPAIN","21328","790546","37.07","975"
"64","KU LEUVEN","BELGIUM","19749","790452","40.02","960"
"65","UNIVERSITY OF COLORADO ANSCHUTZ MEDICAL CAMPUS","USA","22968","784069","34.14","928"
"66","WEILL CORNELL MEDICINE","USA","21269","782764","36.80","1018"
"67","MCMASTER UNIVERSITY","CANADA","19229","782291","40.68","867"
"68","FREE UNIVERSITY OF BERLIN","GERMANY (FED REP GER)","23874","768182","32.18","933"
"69","HUMBOLDT UNIVERSITY OF BERLIN","GERMANY (FED REP GER)","23771","766103","32.23","932"
"70","CHARITE UNIVERSITATSMEDIZIN BERLIN","GERMANY (FED REP GER)","23486","761411","32.42","929"
"71","STATE UNIVERSITY SYSTEM OF FLORIDA","USA","30991","754612","24.35","715"
"72","UNIVERSITY OF BRITISH COLUMBIA","CANADA","23403","743831","31.78","787"
"73","HELMHOLTZ ASSOCIATION","GERMANY (FED REP GER)","19851","730414","36.79","807"
"74","UNIVERSITY OF ALABAMA SYSTEM","USA","20808","726848","34.93","777"
"75","SHANGHAI JIAO TONG UNIVERSITY","CHINA MAINLAND","36671","724300","19.75","656"
"76","BAYLOR COLLEGE OF MEDICINE","USA","23018","711344","30.90","765"
"77","SEOUL NATIONAL UNIVERSITY (SNU)","SOUTH KOREA","27918","709042","25.40","646"
"78","JOHNS HOPKINS MEDICINE","USA","18523","706910","38.16","785"
"79","UNIVERSITY OF ALABAMA BIRMINGHAM","USA","19692","704838","35.79","762"
"80","UNIVERSITY HEALTH NETWORK TORONTO","CANADA","19612","700493","35.72","908"
"81","UNIVERSITY OF CAMBRIDGE","ENGLAND","16289","698171","42.86","810"
"82","UNIVERSITY OF GRONINGEN","NETHERLANDS","19130","695756","36.37","736"
"83","SORBONNE UNIVERSITE","FRANCE","21748","692009","31.82","798"
"84","UTRECHT UNIVERSITY","NETHERLANDS","20717","688590","33.24","711"
"85","NEW YORK UNIVERSITY","USA","19277","662902","34.39","691"
"86","VRIJE UNIVERSITEIT AMSTERDAM","NETHERLANDS","19971","660531","33.07","677"
"87","UNIVERSITY OF MILAN","ITALY","21995","656965","29.87","751"
"88","WORLD HEALTH ORGANIZATION","SWITZERLAND","7515","655347","87.21","548"
"89","UNIVERSITE PARIS SACLAY","FRANCE","16711","652734","39.06","812"
"90","HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH","USA","13329","649414","48.72","718"
"91","FUDAN UNIVERSITY","CHINA MAINLAND","31021","640157","20.64","675"
"92","CHINESE ACADEMY OF MEDICAL SCIENCES - PEKING UNION MEDICAL COLLEGE","CHINA MAINLAND","33147","636310","19.20","662"
"93","UNIVERSITY OF CALIFORNIA LOS ANGELES MEDICAL CENTER","USA","17540","633903","36.14","674"
"94","UNIVERSITY OF OTTAWA","CANADA","17203","631460","36.71","581"
"95","UNIVERSIDADE DE SAO PAULO","BRAZIL","26605","627088","23.57","528"
"96","COPENHAGEN UNIVERSITY HOSPITAL","DENMARK","18949","622914","32.87","651"
"97","MCGILL UNIVERSITY","CANADA","18663","615473","32.98","646"
"98","UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER","USA","19361","613302","31.68","759"
"99","UNIVERSITY OF QUEENSLAND","AUSTRALIA","19637","611722","31.15","608"
"100","UNIVERSITY OF BIRMINGHAM","ENGLAND","15493","608709","39.29","681"
"101","UNIVERSITY OF OSLO","NORWAY","16898","599379","35.47","628"
"102","SUN YAT SEN UNIVERSITY","CHINA MAINLAND","30704","599046","19.51","633"
"103","UNIVERSITY OF MUNICH","GERMANY (FED REP GER)","20311","598709","29.48","696"
"104","OREGON HEALTH & SCIENCE UNIVERSITY","USA","15308","593253","38.75","622"
"105","UNIVERSITY OF CHICAGO","USA","15081","589360","39.08","727"
"106","UTRECHT UNIVERSITY MEDICAL CENTER","NETHERLANDS","18233","587491","32.22","622"
"107","TEL AVIV UNIVERSITY","ISRAEL","22156","582319","26.28","630"
"108","FEINBERG SCHOOL OF MEDICINE","USA","18807","581916","30.94","683"
"109","UNIVERSITY OF MANCHESTER","ENGLAND","16234","578435","35.63","637"
"110","UTAH SYSTEM OF HIGHER EDUCATION","USA","20418","576794","28.25","648"
"111","UNIVERSITY OF NEW SOUTH WALES SYDNEY","AUSTRALIA","17853","574032","32.15","633"
"112","UNIVERSITY OF MINNESOTA SYSTEM","USA","19473","573503","29.45","618"
"113","NSW HEALTH","AUSTRALIA","18648","572396","30.69","622"
"114","UNIVERSITY OF UTAH","USA","19922","571042","28.66","646"
"115","UNIV BRETAGNE LOIRE","N/A","19884","569248","28.63","665"
"116","UNIVERSITY OF ZURICH","SWITZERLAND","20128","568091","28.22","625"
"117","UNIVERSITY OF CALGARY","CANADA","16422","562825","34.27","598"
"118","LEIDEN UNIVERSITY","NETHERLANDS","18217","558431","30.65","605"
"119","NIH NATIONAL CANCER INSTITUTE (NCI)","USA","11026","555640","50.39","657"
"120","UNIVERSITY OF MINNESOTA TWIN CITIES","USA","19018","555400","29.20","598"
"121","CASE WESTERN RESERVE UNIVERSITY","USA","17389","554776","31.90","621"
"122","NATIONAL UNIVERSITY OF SINGAPORE","SINGAPORE","18472","552378","29.90","701"
"123","UNIVERSITY OF EDINBURGH","SCOTLAND","11636","551646","47.41","718"
"124","UNIVERSITY OF ALBERTA","CANADA","16568","548045","33.08","548"
"125","UNIVERSITE DE MONTREAL","CANADA","16289","547008","33.58","563"
"126","BETH ISRAEL DEACONESS MEDICAL CENTER","USA","15347","534084","34.80","650"
"127","LEIDEN UNIVERSITY MEDICAL CENTER (LUMC)","NETHERLANDS","17424","534027","30.65","581"
"128","HOSPITAL CLINIC DE BARCELONA","SPAIN","13518","531447","39.31","715"
"129","MEDICAL UNIVERSITY OF VIENNA","AUSTRIA","18050","530366","29.38","685"
"130","MAASTRICHT UNIVERSITY","NETHERLANDS","18614","528263","28.38","517"
"131","UNIVERSITY OF SOUTHERN CALIFORNIA","USA","18225","527055","28.92","598"
"132","AARHUS UNIVERSITY","DENMARK","17317","525926","30.37","516"
"133","ACADEMIC MEDICAL CENTER AMSTERDAM","NETHERLANDS","10148","519160","51.16","408"
"134","RADBOUD UNIVERSITY NIJMEGEN","NETHERLANDS","17683","518834","29.34","560"
"135","DAVID GEFFEN SCHOOL OF MEDICINE AT UCLA","USA","14025","516693","36.84","540"
"136","UNIVERSITY OF BERN","SWITZERLAND","16777","512621","30.55","620"
"137","CAPITAL MEDICAL UNIVERSITY","CHINA MAINLAND","31945","510694","15.99","367"
"138","INDIANA UNIVERSITY SYSTEM","USA","17671","509246","28.82","506"
"139","LEIDEN UNIVERSITY - EXCL LUMC","NETHERLANDS","16205","508551","31.38","536"
"140","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)","FRANCE","22848","508371","22.25","463"
"141","UNIVERSITY OF GLASGOW","SCOTLAND","10359","504973","48.75","678"
"142","BOSTON UNIVERSITY","USA","14346","504791","35.19","512"
"143","PEKING UNIVERSITY","CHINA MAINLAND","26565","502683","18.92","514"
"144","GERMAN CANCER RESEARCH CENTER (DKFZ)","GERMANY (FED REP GER)","11716","499459","42.63","567"
"145","LUND UNIVERSITY","SWEDEN","15730","494785","31.45","430"
"146","YONSEI UNIVERSITY","SOUTH KOREA","21999","491764","22.35","460"
"147","LONDON SCHOOL OF HYGIENE & TROPICAL MEDICINE","ENGLAND","9809","491212","50.08","559"
"148","SAPIENZA UNIVERSITY ROME","ITALY","19094","487831","25.55","434"
"149","JOHNS HOPKINS BLOOMBERG SCHOOL OF PUBLIC HEALTH","USA","10988","480619","43.74","368"
"150","CHINESE UNIVERSITY OF HONG KONG","HONG KONG","11430","479394","41.94","652"
"151","STATE UNIVERSITY OF NEW YORK (SUNY) SYSTEM","USA","18044","477418","26.46","451"
"152","EGYPTIAN KNOWLEDGE BANK (EKB)","EGYPT","28741","473177","16.46","342"
"153","UNIVERSITY OF HELSINKI","FINLAND","13583","471716","34.73","461"
"154","UNIVERSITY HOSPITAL LEUVEN","BELGIUM","11446","465947","40.71","611"
"155","KAROLINSKA UNIVERSITY HOSPITAL","SWEDEN","14270","462110","32.38","512"
"156","RIGSHOSPITALET","DENMARK","15072","461790","30.64","502"
"157","BOSTON CHILDREN'S HOSPITAL","USA","16137","460590","28.54","424"
"158","GUSTAVE ROUSSY","FRANCE","7364","453741","61.62","709"
"159","CENTERS FOR DISEASE CONTROL & PREVENTION - USA","USA","8649","449340","51.95","622"
"160","UNIVERSITY OF SOUTHERN DENMARK","DENMARK","14645","448410","30.62","390"
"161","UNIVERSITY OF GOTHENBURG","SWEDEN","13391","445419","33.26","417"
"162","QUEEN MARY UNIVERSITY LONDON","ENGLAND","11431","444518","38.89","553"
"163","GHENT UNIVERSITY","BELGIUM","12343","442712","35.87","500"
"164","GUY'S & ST THOMAS' NHS FOUNDATION TRUST","ENGLAND","11018","442224","40.14","506"
"165","PEKING UNION MEDICAL COLLEGE","CHINA MAINLAND","24593","439270","17.86","423"
"166","UNIVERSITY OF WISCONSIN SYSTEM","USA","16658","438922","26.35","472"
"167","NATIONAL & KAPODISTRIAN UNIVERSITY OF ATHENS","GREECE","14920","438542","29.39","585"
"168","UNIVERSITY OF WESTERN AUSTRALIA","AUSTRALIA","12785","436899","34.17","396"
"169","UNIVERSITY OF PADUA","ITALY","15450","433168","28.04","434"
"170","ZHEJIANG UNIVERSITY","CHINA MAINLAND","25603","432520","16.89","440"
"171","HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","20854","431160","20.68","444"
"172","UPPSALA UNIVERSITY","SWEDEN","12322","427199","34.67","348"
"173","UNIVERSITY OF BRISTOL","ENGLAND","9643","426413","44.22","364"
"174","UNIVERSITY OF BOLOGNA","ITALY","11546","420287","36.40","459"
"175","YONSEI UNIVERSITY HEALTH SYSTEM","SOUTH KOREA","18848","417942","22.17","412"
"176","UNIVERSITY OF WISCONSIN MADISON","USA","14967","413896","27.65","452"
"177","UNIVERSITY OF HONG KONG","HONG KONG","11479","406925","35.45","398"
"178","FRED HUTCHINSON CANCER CENTER","USA","6820","406025","59.53","579"
"179","TECHNICAL UNIVERSITY OF MUNICH","GERMANY (FED REP GER)","13496","398049","29.49","417"
"180","UNIVERSITY OF VIRGINIA","USA","12203","397917","32.61","418"
"181","UNIVERSITY OF FLORIDA","USA","16079","395336","24.59","404"
"182","NEWCASTLE UNIVERSITY - UK","ENGLAND","9917","394142","39.74","432"
"183","SICHUAN UNIVERSITY","CHINA MAINLAND","27223","393334","14.45","403"
"184","UNIVERSITY OF HAMBURG","GERMANY (FED REP GER)","15217","393320","25.85","480"
"185","SAINT MICHAELS HOSPITAL TORONTO","CANADA","8066","393266","48.76","386"
"186","BROWN UNIVERSITY","USA","12028","392607","32.64","335"
"187","UNIVERSITY OF LIVERPOOL","ENGLAND","9860","391302","39.69","426"
"188","CHINESE ACADEMY OF SCIENCES","CHINA MAINLAND","16270","389808","23.96","426"
"189","UNIVERSITY ZURICH HOSPITAL","SWITZERLAND","12932","387942","30.00","478"
"190","UNIVERSITY OF ADELAIDE","AUSTRALIA","9941","387140","38.94","372"
"191","UNIVERSITY SYSTEM OF MARYLAND","USA","15096","386992","25.64","361"
"192","UNIVERSITY OF ILLINOIS SYSTEM","USA","14843","385916","26.00","277"
"193","HOSPITAL UNIVERSITARI VALL D'HEBRON","SPAIN","9296","382848","41.18","570"
"194","ROYAL MARSDEN NHS FOUNDATION TRUST","ENGLAND","6484","382700","59.02","529"
"195","UNIVERSITY OF SOUTHAMPTON","ENGLAND","9338","382330","40.94","397"
"196","NATIONAL TAIWAN UNIVERSITY","TAIWAN","13352","382220","28.63","356"
"197","NEWYORK-PRESBYTERIAN HOSPITAL","USA","13225","380977","28.81","529"
"198","UNIVERSITY OF BASEL","SWITZERLAND","12579","380496","30.25","368"
"199","AMERICAN CANCER SOCIETY","USA","1140","378588","332.09","164"
"200","CATHOLIC UNIVERSITY OF THE SACRED HEART","ITALY","14346","376442","26.24","463"
"201","SUNGKYUNKWAN UNIVERSITY (SKKU)","SOUTH KOREA","16128","375005","23.25","414"
"202","UNIVERSITY MEDICAL CENTER HAMBURG-EPPENDORF","GERMANY (FED REP GER)","14569","374778","25.72","462"
"203","UNIVERSITY OF TOKYO","JAPAN","14954","373975","25.01","252"
"204","CEDARS SINAI MEDICAL CENTER","USA","10230","371724","36.34","493"
"205","PENNSYLVANIA MEDICINE","USA","14704","371527","25.27","366"
"206","CENTRAL SOUTH UNIVERSITY","CHINA MAINLAND","19318","371322","19.22","352"
"207","UNIVERSITY OF MIAMI","USA","14607","368151","25.20","419"
"208","SEOUL NATIONAL UNIVERSITY HOSPITAL","SOUTH KOREA","14612","364413","24.94","373"
"209","MONTEFIORE MEDICAL CENTER","USA","10349","364291","35.20","392"
"210","INDIANA UNIVERSITY BLOOMINGTON","USA","12372","363952","29.42","341"
"211","CHU LYON","FRANCE","12296","360505","29.32","421"
"212","UNIVERSITY OF TURIN","ITALY","11907","359041","30.15","392"
"213","UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER HOUSTON","USA","11703","358014","30.59","318"
"214","IRCCS POLICLINICO GEMELLI","ITALY","13515","355493","26.30","442"
"215","OTTAWA HOSPITAL RESEARCH INSTITUTE","CANADA","8028","354453","44.15","296"
"216","SACKLER FACULTY OF MEDICINE","ISRAEL","15545","354146","22.78","361"
"217","YESHIVA UNIVERSITY","USA","9666","352515","36.47","380"
"218","VITA-SALUTE SAN RAFFAELE UNIVERSITY","ITALY","12739","350709","27.53","475"
"219","UNIVERSITY OF GENEVA","SWITZERLAND","12349","350318","28.37","376"
"220","UNIVERSITY OF ULSAN","SOUTH KOREA","15429","349677","22.66","385"
"221","UNIVERSITY OF LEEDS","ENGLAND","10966","348828","31.81","440"
"222","HOSPITAL FOR SICK CHILDREN (SICKKIDS)","CANADA","11578","348338","30.09","304"
"223","UNIVERSITY OF LAUSANNE","SWITZERLAND","11140","347171","31.16","438"
"224","INTERNATIONAL AGENCY FOR RESEARCH ON CANCER (IARC)","FRANCE","2227","346941","155.79","210"
"225","UNIV LILLE NORD FRANCE COMUE","N/A","11026","346861","31.46","408"
"226","UNIVERSITY OF IOWA","USA","13140","346186","26.35","336"
"227","UNIVERSITY OF NOTTINGHAM","ENGLAND","9797","345717","35.29","370"
"228","UNIVERSITE DE LILLE","FRANCE","10933","345476","31.60","406"
"229","HELSINKI UNIVERSITY CENTRAL HOSPITAL","FINLAND","10121","345160","34.10","350"
"230","NANJING MEDICAL UNIVERSITY","CHINA MAINLAND","23395","344959","14.74","312"
"231","WESTERN UNIVERSITY (UNIVERSITY OF WESTERN ONTARIO)","CANADA","12130","342136","28.21","355"
"232","AIX-MARSEILLE UNIVERSITE","FRANCE","11245","339551","30.20","393"
"233","UNIVERSITY OF MARYLAND BALTIMORE","USA","12992","337782","26.00","320"
"234","KAISER PERMANENTE","USA","9147","334185","36.53","342"
"235","UNIVERSITY OF DUISBURG ESSEN","GERMANY (FED REP GER)","9653","332416","34.44","415"
"236","SAMSUNG MEDICAL CENTER","SOUTH KOREA","14140","332181","23.49","369"
"237","ALBERT EINSTEIN COLLEGE OF MEDICINE","USA","9362","331182","35.38","346"
"238","H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE","USA","6572","329191","50.09","468"
"239","AUTONOMOUS UNIVERSITY OF BARCELONA","SPAIN","12281","328791","26.77","404"
"240","SOUTHERN MEDICAL UNIVERSITY - CHINA","CHINA MAINLAND","19745","327925","16.61","321"
"241","CHILDRENS HOSPITAL OF PHILADELPHIA","USA","13247","327373","24.71","317"
"242","IDIBAPS","SPAIN","7651","326104","42.62","469"
"243","UNIVERSITY OF FLORENCE","ITALY","12403","325023","26.21","349"
"244","WUHAN UNIVERSITY","CHINA MAINLAND","11587","322301","27.82","238"
"245","UNIVERSITY OF LEICESTER","ENGLAND","7372","321564","43.62","426"
"246","UNIVERSITY HOSPITAL OF BERN","SWITZERLAND","11085","319325","28.81","393"
"247","IRCCS OSPEDALE SAN RAFFAELE","ITALY","11471","319025","27.81","442"
"248","FLOREY INSTITUTE OF NEUROSCIENCE & MENTAL HEALTH","AUSTRALIA","9194","318133","34.60","330"
"249","THOMAS JEFFERSON UNIVERSITY","USA","12749","317365","24.89","260"
"250","CHARLES UNIVERSITY PRAGUE","CZECH REPUBLIC","10314","316910","30.73","411"
"251","HANNOVER MEDICAL SCHOOL","GERMANY (FED REP GER)","11043","314898","28.52","388"
"252","UNIVERSITY OF ROCHESTER","USA","10234","313736","30.66","356"
"253","UNIVERSITE DE BORDEAUX","FRANCE","8602","313698","36.47","351"
"254","CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER","USA","11763","313019","26.61","280"
"255","ASAN MEDICAL CENTER","SOUTH KOREA","13176","311596","23.65","351"
"256","UNIVERSITY OF COLOGNE","GERMANY (FED REP GER)","11202","311435","27.80","388"
"257","MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT)","USA","6361","311230","48.93","466"
"258","UNIVERSITY OF CINCINNATI","USA","13108","308506","23.54","339"
"259","UNIVERSITY OF CAPE TOWN","SOUTH AFRICA","6728","308021","45.78","343"
"260","HOPITAL UNIVERSITAIRE PITIE-SALPETRIERE - APHP","FRANCE","9211","307695","33.41","368"
"261","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","ENGLAND","7614","304423","39.98","398"
"262","EBERHARD KARLS UNIVERSITY OF TUBINGEN","GERMANY (FED REP GER)","11727","302913","25.83","348"
"263","MEDICAL UNIVERSITY OF SOUTH CAROLINA","USA","10472","302330","28.87","295"
"264","UNIVERSITE DE MONTPELLIER","FRANCE","10791","301526","27.94","321"
"265","KYOTO UNIVERSITY","JAPAN","11204","300483","26.82","231"
"266","NETHERLANDS CANCER INSTITUTE","NETHERLANDS","6128","300224","48.99","375"
"267","UNIVERSITY OF NAPLES FEDERICO II","ITALY","12133","300052","24.73","292"
"268","NATIONAL CANCER CENTER - JAPAN","JAPAN","8377","299826","35.79","401"
"269","ULM UNIVERSITY","GERMANY (FED REP GER)","7730","299275","38.72","292"
"270","UNIVERSITY OF CALIFORNIA DAVIS","USA","10745","298420","27.77","289"
"271","UNIVERSITY OF AUCKLAND","NEW ZEALAND","8405","297329","35.38","250"
"272","CHU LILLE","FRANCE","9485","297203","31.33","356"
"273","UNIVERSITY OF SHEFFIELD","ENGLAND","8669","296639","34.22","326"
"274","UNIVERSITY OF MASSACHUSETTS SYSTEM","USA","9653","295844","30.65","282"
"275","UNIV NANTES ANGERS LE MANS","N/A","10594","294876","27.83","376"
"276","UNIVERSITY OF CALIFORNIA IRVINE","USA","9591","294491","30.70","293"
"277","UNIVERSITY OF ARIZONA","USA","9830","294263","29.94","315"
"278","UNIVERSITY OF ILLINOIS CHICAGO","USA","11766","293826","24.97","214"
"279","VIRGINIA COMMONWEALTH UNIVERSITY","USA","8864","290348","32.76","367"
"280","PRINCESS MARGARET CANCER CENTRE","CANADA","6567","289128","44.03","438"
"281","SUNNYBROOK HEALTH SCIENCE CENTER","CANADA","8807","287877","32.69","276"
"282","UNIVERSITY OF ILLINOIS CHICAGO HOSPITAL","USA","11544","287491","24.90","211"
"283","TEHRAN UNIVERSITY OF MEDICAL SCIENCES","IRAN","13099","286846","21.90","211"
"284","WAKE FOREST UNIVERSITY","USA","10273","286408","27.88","297"
"285","UNIVERSIDADE DO PORTO","PORTUGAL","8729","285942","32.76","273"
"286","SUNNYBROOK RESEARCH INSTITUTE","CANADA","8753","285686","32.64","273"
"287","HOPITAL UNIVERSITAIRE SAINT-LOUIS - APHP","FRANCE","7735","283154","36.61","437"
"288","UNIVERSITY OF TENNESSEE SYSTEM","USA","9460","281759","29.78","290"
"289","UNIVERSITY OF ERLANGEN NUREMBERG","GERMANY (FED REP GER)","10794","280777","26.01","302"
"290","CENTRE HOSPITALIER UNIVERSITAIRE VAUDOIS (CHUV)","SWITZERLAND","8744","278516","31.85","353"
"291","UNIVERSITY OF BERGEN","NORWAY","7281","276526","37.98","225"
"292","UNIV BOURGOGNE FRANCHE-COMTE COMUE","N/A","8133","275984","33.93","270"
"293","CHU BORDEAUX","FRANCE","8470","275232","32.49","337"
"294","HOWARD FLOREY INSTITUTE AFFILIATES","AUSTRALIA","8344","274566","32.91","289"
"295","RUTGERS UNIVERSITY SYSTEM","USA","11819","273633","23.15","308"
"296","IRCCS CA GRANDA OSPEDALE MAGGIORE POLICLINICO","ITALY","9635","273124","28.35","346"
"297","ODENSE UNIVERSITY HOSPITAL","DENMARK","8627","270390","31.34","217"
"298","RUTGERS UNIVERSITY NEW BRUNSWICK","USA","11622","270377","23.26","305"
"299","UNIVERSITY OF KIEL","GERMANY (FED REP GER)","9212","269996","29.31","323"
"300","QUEENS UNIVERSITY - CANADA","CANADA","7322","264665","36.15","230"
"301","TECHNISCHE UNIVERSITAT DRESDEN","GERMANY (FED REP GER)","8873","264337","29.79","318"
"302","UNIVERSITY SYSTEM OF GEORGIA","USA","10719","264180","24.65","211"
"303","GHENT UNIVERSITY HOSPITAL","BELGIUM","8091","264068","32.64","327"
"304","UNIVERSITE LIBRE DE BRUXELLES","BELGIUM","7130","262326","36.79","338"
"305","FONDAZIONE IRCCS ISTITUTO NAZIONALE TUMORI MILAN","ITALY","6049","262102","43.33","353"
"306","UNIV LYON COMUE","N/A","9836","260683","26.50","306"
"307","NATIONAL TAIWAN UNIVERSITY HOSPITAL","TAIWAN","9857","260209","26.40","274"
"308","UNIVERSITY OF MUNSTER","GERMANY (FED REP GER)","8653","259120","29.95","277"
"309","GOETHE UNIVERSITY FRANKFURT","GERMANY (FED REP GER)","9420","258822","27.48","312"
"310","CITY OF HOPE","USA","5639","257148","45.60","432"
"311","TUFTS UNIVERSITY","USA","7062","257121","36.41","257"
"312","UNIVERSITY OF TENNESSEE HEALTH SCIENCE CENTER","USA","8244","256131","31.07","274"
"313","CITY ST GEORGES, UNIVERSITY OF LONDON","ENGLAND","6389","256040","40.08","273"
"314","HEBREW UNIVERSITY OF JERUSALEM","ISRAEL","8871","254964","28.74","268"
