Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): COMPUTER SCIENCE   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"227","NANKAI UNIVERSITY","CHINA MAINLAND","1285","20559","16.00","33"
"228","PENNSYLVANIA STATE UNIVERSITY","USA","1376","20551","14.94","10"
"229","MACAU UNIVERSITY OF SCIENCE & TECHNOLOGY","MACAU","1153","20436","17.72","26"
"230","UNIVERSITY OF CALIFORNIA DAVIS","USA","1137","20306","17.86","12"
"231","SORBONNE UNIVERSITE","FRANCE","1323","20264","15.32","14"
"232","QUEENS UNIVERSITY BELFAST","NORTHERN IRELAND","838","20171","24.07","19"
"233","INDIAN INSTITUTE OF TECHNOLOGY (IIT) - KHARAGPUR","INDIA","1397","19969","14.29","12"
"234","ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE","SWITZERLAND","1334","19944","14.95","14"
"235","NATIONAL TAIWAN UNIVERSITY OF SCIENCE & TECHNOLOGY","TAIWAN","1077","19915","18.49","17"
"236","JINAN UNIVERSITY","CHINA MAINLAND","1499","19802","13.21","23"
"237","UNIVERSITY OF MINNESOTA SYSTEM","USA","1137","19587","17.23","20"
"238","EAST CHINA UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","1042","19542","18.75","23"
"239","INSTITUTE OF COMPUTING TECHNOLOGY, CAS","CHINA MAINLAND","1520","19485","12.82","20"
"240","CHINA UNIVERSITY OF PETROLEUM","CHINA MAINLAND","1515","19326","12.76","24"
"241","LOS ALAMOS NATIONAL LABORATORY","USA","398","19009","47.76","9"
"242","GUILIN UNIVERSITY OF ELECTRONIC TECHNOLOGY","CHINA MAINLAND","1496","19003","12.70","12"
"243","UNIVERSITY OF MINNESOTA TWIN CITIES","USA","1075","18943","17.62","20"
"244","UNIVERSITY OF WOLLONGONG","AUSTRALIA","1073","18819","17.54","18"
"245","NORWEGIAN UNIVERSITY OF SCIENCE & TECHNOLOGY (NTNU)","NORWAY","1289","18791","14.58","14"
"246","PENNSYLVANIA STATE UNIVERSITY - UNIVERSITY PARK","USA","1178","18702","15.88","9"
"247","UNIVERSIDADE DE SAO PAULO","BRAZIL","1332","18695","14.04","9"
"248","UNIVERSITY OF PISA","ITALY","1048","18648","17.79","23"
"249","YANGZHOU UNIVERSITY","CHINA MAINLAND","795","18630","23.43","13"
"250","THE CHINESE UNIVERSITY OF HONG KONG, SHENZHEN","CHINA MAINLAND","977","18597","19.03","37"
"251","TEXAS A&M UNIVERSITY QATAR","QATAR","510","18457","36.19","16"
"252","ARMY ENGINEERING UNIVERSITY OF PLA","CHINA MAINLAND","1365","18448","13.52","10"
"253","DE MONTFORT UNIVERSITY","ENGLAND","551","18416","33.42","27"
"254","NGEE ANN POLYTECH","N/A","207","18309","88.45","23"
"255","TEXAS A&M UNIVERSITY COLLEGE STATION","USA","1283","18249","14.22","10"
"256","SEOUL NATIONAL UNIVERSITY (SNU)","SOUTH KOREA","1550","18247","11.77","9"
"257","CHANGSHA UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","825","18112","21.95","20"
"258","UNIVERSITY OF JYVASKYLA","FINLAND","346","18093","52.29","6"
"259","WESTERN UNIVERSITY (UNIVERSITY OF WESTERN ONTARIO)","CANADA","811","18070","22.28","14"
"260","UNIVERSITY OF GEORGIA","USA","367","18050","49.18","5"
"261","CARDIFF UNIVERSITY","WALES","788","18047","22.90","17"
"262","UNIVERSITY OF ILLINOIS CHICAGO","USA","719","18035","25.08","24"
"263","IBM USA","USA","1089","18029","16.56","18"
"264","A*STAR - INSTITUTE FOR INFOCOMM RESEARCH (I2R)","SINGAPORE","683","17966","26.30","17"
"265","UNIVERSITY OF ILLINOIS CHICAGO HOSPITAL","USA","715","17932","25.08","24"
"266","VANDERBILT UNIVERSITY","USA","559","17929","32.07","11"
"267","UNIVERSITY OF TEXAS DALLAS","USA","1036","17839","17.22","24"
"268","UNIVERSITA DELLA SVIZZERA ITALIANA","SWITZERLAND","500","17820","35.64","7"
"269","MACQUARIE UNIVERSITY","AUSTRALIA","1043","17775","17.04","15"
"270","UNIVERSITY OF QUEENSLAND","AUSTRALIA","1001","17694","17.68","17"
"271","SINGAPORE MANAGEMENT UNIVERSITY","SINGAPORE","971","17659","18.19","17"
"272","DEEPMIND","ENGLAND","170","17612","103.60","17"
"273","CHINA AGRICULTURAL UNIVERSITY","CHINA MAINLAND","1101","17527","15.92","23"
"274","EINDHOVEN UNIVERSITY OF TECHNOLOGY","NETHERLANDS","1500","17455","11.64","8"
"275","SHARIF UNIVERSITY OF TECHNOLOGY","IRAN","1305","17416","13.35","11"
"276","OHIO STATE UNIVERSITY","USA","997","17364","17.42","13"
"277","AALBORG UNIVERSITY","DENMARK","1100","17344","15.77","13"
"278","CORNELL UNIVERSITY","USA","1028","17334","16.86","17"
"279","TECHNISCHE UNIVERSITAT WIEN","AUSTRIA","1576","17283","10.97","12"
"280","UNIVERSITY OF MASSACHUSETTS SYSTEM","USA","1173","17274","14.73","11"
"281","UNIVERSITY OF PENNSYLVANIA","USA","986","17210","17.45","18"
"282","UNIVERSITY OF BOLOGNA","ITALY","1395","17177","12.31","10"
"283","UNIVERSITY OF JORDAN","JORDAN","481","17149","35.65","12"
"284","TECHNICAL UNIVERSITY OF BERLIN","GERMANY (FED REP GER)","1038","17006","16.38","19"
"285","UNIVERSITY OF SHEFFIELD","ENGLAND","943","16888","17.91","20"
"286","NORTHUMBRIA UNIVERSITY","ENGLAND","609","16844","27.66","21"
"287","RUTGERS UNIVERSITY SYSTEM","USA","1019","16829","16.52","15"
"288","UNIVERSITY OF BASQUE COUNTRY","SPAIN","863","16804","19.47","20"
"289","FUJIAN NORMAL UNIVERSITY","CHINA MAINLAND","1018","16737","16.44","25"
"290","RUTGERS UNIVERSITY NEW BRUNSWICK","USA","1000","16684","16.68","15"
"291","UNIVERSITY OF OTTAWA","CANADA","1043","16678","15.99","21"
"292","UNIVERSITY OF EXETER","ENGLAND","693","16635","24.00","28"
"293","UNIVERSITAT POLITECNICA DE VALENCIA","SPAIN","1520","16451","10.82","6"
"294","QUFU NORMAL UNIVERSITY","CHINA MAINLAND","770","16338","21.22","21"
"295","CALIFORNIA STATE UNIVERSITY SYSTEM","USA","1091","16301","14.94","12"
"296","ARISTOTLE UNIVERSITY OF THESSALONIKI","GREECE","839","16084","19.17","8"
"297","DONGHUA UNIVERSITY","CHINA MAINLAND","863","15986","18.52","18"
"298","RWTH AACHEN UNIVERSITY","GERMANY (FED REP GER)","1159","15958","13.77","16"
"299","POLISH ACADEMY OF SCIENCES","POLAND","942","15870","16.85","11"
"300","LIAONING UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","284","15853","55.82","28"
"301","QUEENSLAND UNIVERSITY OF TECHNOLOGY (QUT)","AUSTRALIA","708","15844","22.38","13"
"302","SAPIENZA UNIVERSITY ROME","ITALY","1217","15796","12.98","13"
"303","UNIVERSIDAD POLITECNICA DE MADRID","SPAIN","1415","15775","11.15","4"
"304","UNIVERSITY OF CALIFORNIA LOS ANGELES","USA","1143","15738","13.77","13"
"305","BOHAI UNIVERSITY","CHINA MAINLAND","297","15693","52.84","47"
"306","DUKE UNIVERSITY","USA","826","15676","18.98","9"
"307","UNIVERSITY OF COLORADO SYSTEM","USA","998","15599","15.63","11"
