Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): ENGINEERING   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"103","UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN","USA","6607","126569","19.16","79"
"104","ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE","SWITZERLAND","5446","125501","23.04","99"
"105","UNIVERSIDADE DE LISBOA","PORTUGAL","6726","125328","18.63","71"
"106","UNIVERSITE PARIS SACLAY","FRANCE","7640","124990","16.36","65"
"107","NANJING UNIVERSITY","CHINA MAINLAND","5428","124975","23.02","164"
"108","MINIST EDUC","N/A","8487","122270","14.41","120"
"109","ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY (RMIT)","AUSTRALIA","4928","121954","24.75","132"
"110","KOREA UNIVERSITY","SOUTH KOREA","6921","121581","17.57","129"
"111","UNIVERSITY COLLEGE LONDON","ENGLAND","5494","121260","22.07","100"
"112","KU LEUVEN","BELGIUM","5728","120995","21.12","94"
"113","XIAMEN UNIVERSITY","CHINA MAINLAND","6474","120751","18.65","107"
"114","MONASH UNIVERSITY","AUSTRALIA","5138","119488","23.26","102"
"115","NATIONAL UNIVERSITY OF DEFENSE TECHNOLOGY - CHINA","CHINA MAINLAND","9376","119285","12.72","100"
"116","IRAN UNIVERSITY SCIENCE & TECHNOLOGY","IRAN","7009","118917","16.97","52"
"117","UNIVERSITY OF TEXAS AUSTIN","USA","5287","118667","22.45","77"
"118","UNIVERSITY OF NOTTINGHAM","ENGLAND","5131","118151","23.03","82"
"119","UNIVERSITY SYSTEM OF MARYLAND","USA","5109","117483","23.00","115"
"120","ZHENGZHOU UNIVERSITY","CHINA MAINLAND","6771","117105","17.30","182"
"121","KOREA ADVANCED INSTITUTE OF SCIENCE & TECHNOLOGY (KAIST)","SOUTH KOREA","7671","116115","15.14","64"
"122","UNIVERSITY OF MANCHESTER","ENGLAND","5444","114755","21.08","82"
"123","STATE GRID CORPORATION OF CHINA","CHINA MAINLAND","10103","114628","11.35","82"
"124","SEOUL NATIONAL UNIVERSITY (SNU)","SOUTH KOREA","8450","114054","13.50","52"
"125","PENNSYLVANIA STATE UNIVERSITY","USA","6170","113563","18.41","75"
"126","CONSIGLIO NAZIONALE DELLE RICERCHE (CNR)","ITALY","6654","113049","16.99","50"
"127","YONSEI UNIVERSITY","SOUTH KOREA","6304","110524","17.53","124"
"128","UNIVERSITY OF BRITISH COLUMBIA","CANADA","5054","109452","21.66","93"
"129","UNIVERSITY OF ADELAIDE","AUSTRALIA","3623","109210","30.14","102"
"130","SHANDONG UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","6818","109060","16.00","98"
"131","CURTIN UNIVERSITY","AUSTRALIA","4107","108380","26.39","99"
"132","HANYANG UNIVERSITY","SOUTH KOREA","7193","108362","15.06","89"
"133","UNIVERSITY OF QUEENSLAND","AUSTRALIA","4434","107293","24.20","104"
"134","POLYTECHNIC UNIVERSITY OF TURIN","ITALY","6924","106788","15.42","40"
"135","COMSATS UNIVERSITY ISLAMABAD (CUI)","PAKISTAN","5067","106682","21.05","82"
"136","AMIRKABIR UNIVERSITY OF TECHNOLOGY","IRAN","6803","105834","15.56","29"
"137","UNIVERSITY OF OXFORD","ENGLAND","4261","104952","24.63","109"
"138","TECHNICAL UNIVERSITY OF MUNICH","GERMANY (FED REP GER)","6501","104215","16.03","75"
"139","PENNSYLVANIA STATE UNIVERSITY - UNIVERSITY PARK","USA","5388","103789","19.26","72"
"140","COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH (CSIR) - INDIA","INDIA","5344","102069","19.10","84"
"141","RWTH AACHEN UNIVERSITY","GERMANY (FED REP GER)","5717","102030","17.85","76"
"142","ZHEJIANG UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","5997","100185","16.71","154"
"143","EAST CHINA UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","5265","100066","19.01","91"
"144","UNIVERSITY OF NAPLES FEDERICO II","ITALY","5515","99523","18.05","39"
"145","SHARIF UNIVERSITY OF TECHNOLOGY","IRAN","5972","98653","16.52","53"
"146","VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY","USA","5467","98424","18.00","48"
"147","AALTO UNIVERSITY","FINLAND","5042","98361","19.51","66"
"148","UNIVERSITY OF MARYLAND COLLEGE PARK","USA","4036","98357","24.37","100"
"149","INDIAN INSTITUTE OF TECHNOLOGY (IIT) - DELHI","INDIA","5876","97353","16.57","36"
"150","CHINESE UNIVERSITY OF HONG KONG","HONG KONG","3866","96852","25.05","104"
"151","EINDHOVEN UNIVERSITY OF TECHNOLOGY","NETHERLANDS","4986","96570","19.37","62"
"152","UNIVERSITI KEBANGSAAN MALAYSIA","MALAYSIA","3856","96435","25.01","98"
"153","STATE UNIVERSITY OF NEW YORK (SUNY) SYSTEM","USA","4916","96415","19.61","65"
"154","KARLSRUHE INSTITUTE OF TECHNOLOGY","GERMANY (FED REP GER)","5989","95864","16.01","49"
"155","FUDAN UNIVERSITY","CHINA MAINLAND","6347","95853","15.10","106"
"156","UNIVERSITY OF WISCONSIN SYSTEM","USA","4793","94497","19.72","58"
"157","UNIVERSITY OF TOKYO","JAPAN","6582","94478","14.35","69"
"158","RUSSIAN ACADEMY OF SCIENCES","RUSSIA","11853","93065","7.85","41"
"159","TON DUC THANG UNIVERSITY","VIETNAM","2817","92775","32.93","65"
"160","CHALMERS UNIVERSITY OF TECHNOLOGY","SWEDEN","4582","92760","20.24","63"
"161","UNIVERSITY OF CALIFORNIA SAN DIEGO","USA","3948","91297","23.12","77"
"162","FUZHOU UNIVERSITY","CHINA MAINLAND","6249","91145","14.59","92"
"163","ARIZONA STATE UNIVERSITY","USA","4023","91081","22.64","61"
"164","NANKAI UNIVERSITY","CHINA MAINLAND","4185","91022","21.75","128"
"165","CHANG'AN UNIVERSITY","CHINA MAINLAND","6709","89743","13.38","94"
"166","UNIVERSIDADE DO PORTO","PORTUGAL","4627","89733","19.39","44"
"167","NANJING TECH UNIVERSITY","CHINA MAINLAND","5431","89368","16.46","87"
"168","HARVARD UNIVERSITY","USA","2784","88758","31.88","105"
"169","UNIVERSITAT POLITECNICA DE CATALUNYA","SPAIN","6001","88220","14.70","37"
"170","NATIONAL RENEWABLE ENERGY LABORATORY - USA","USA","2477","87706","35.41","99"
"171","SAPIENZA UNIVERSITY ROME","ITALY","5397","87045","16.13","43"
"172","KHALIFA UNIVERSITY OF SCIENCE & TECHNOLOGY","UNITED ARAB EMIRATES","4259","86866","20.40","77"
"173","UNIVERSITY OF SHANGHAI FOR SCIENCE & TECHNOLOGY","CHINA MAINLAND","6001","86823","14.47","84"
"174","UNIVERSITE DE MONTREAL","CANADA","4092","85946","21.00","46"
"175","UNIVERSITY OF TENNESSEE SYSTEM","USA","3717","85752","23.07","70"
"176","GUANGXI UNIVERSITY","CHINA MAINLAND","5548","85444","15.40","96"
"177","UNIVERSITY OF TABRIZ","IRAN","3856","85047","22.06","52"
"178","GUANGZHOU UNIVERSITY","CHINA MAINLAND","4846","84939","17.53","101"
"179","UNIVERSITY OF SHEFFIELD","ENGLAND","4471","84529","18.91","48"
"180","BEIJING UNIVERSITY OF POSTS & TELECOMMUNICATIONS","CHINA MAINLAND","6507","84333","12.96","66"
"181","ARIZONA STATE UNIVERSITY-TEMPE","USA","3686","84042","22.80","52"
"182","UNIVERSITY OF MELBOURNE","AUSTRALIA","3998","83983","21.01","84"
"183","VELLORE INSTITUTE OF TECHNOLOGY (VIT)","INDIA","5986","83856","14.01","74"
"184","UNIVERSITY OF MACAU","MACAU","4266","83853","19.66","88"
"185","ARGONNE NATIONAL LABORATORY","USA","2270","83691","36.87","113"
"186","QATAR UNIVERSITY","QATAR","3531","83626","23.68","80"
"187","SOUTHERN UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","4966","83406","16.80","95"
"188","UNIVERSITY OF TENNESSEE KNOXVILLE","USA","3521","83185","23.63","69"
"189","SOOCHOW UNIVERSITY - CHINA","CHINA MAINLAND","4240","82581","19.48","116"
"190","UNIVERSITY OF SOUTHAMPTON","ENGLAND","4499","82456","18.33","42"
"191","DALIAN MARITIME UNIVERSITY","CHINA MAINLAND","5355","81843","15.28","92"
"192","BEIJING UNIVERSITY OF CHEMICAL TECHNOLOGY","CHINA MAINLAND","3511","81065","23.09","85"
"193","UNIVERSITY OF FLORIDA","USA","3963","80949","20.43","53"
"194","UNIVERSITY OF WOLLONGONG","AUSTRALIA","3152","80940","25.68","66"
"195","BEIJING NORMAL UNIVERSITY","CHINA MAINLAND","3474","80816","23.26","78"
"196","UNIVERSITY OF STRATHCLYDE","SCOTLAND","4229","80456","19.02","58"
"197","GHENT UNIVERSITY","BELGIUM","4703","80285","17.07","43"
"198","SWINBURNE UNIVERSITY OF TECHNOLOGY","AUSTRALIA","2792","79881","28.61","123"
"199","INDIAN INSTITUTE OF TECHNOLOGY (IIT) - ROORKEE","INDIA","4768","79731","16.72","38"
"200","UNIVERSITY OF PADUA","ITALY","4612","79113","17.15","35"
"201","UNIVERSITY OF BIRMINGHAM","ENGLAND","3808","79005","20.75","62"
"202","UNIVERSITY OF LEEDS","ENGLAND","3508","78948","22.51","59"
"203","KING ABDULLAH UNIVERSITY OF SCIENCE & TECHNOLOGY","SAUDI ARABIA","3492","78934","22.60","87"
"204","CONCORDIA UNIVERSITY - CANADA","CANADA","3951","78658","19.91","46"
"205","FRAUNHOFER GESELLSCHAFT","GERMANY (FED REP GER)","4079","78560","19.26","68"
"206","UNIVERSITY OF QUEBEC","CANADA","4709","77972","16.56","45"
"207","OAK RIDGE NATIONAL LABORATORY","USA","3747","77806","20.76","67"
"208","CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC)","SPAIN","4126","77686","18.83","44"
"209","INDIAN INSTITUTE OF TECHNOLOGY (IIT) - KHARAGPUR","INDIA","4972","77401","15.57","31"
"210","NORTH CAROLINA STATE UNIVERSITY","USA","4046","77279","19.10","51"
"211","LAWRENCE BERKELEY NATIONAL LABORATORY","USA","2002","77277","38.60","97"
"212","UNIVERSITY OF WASHINGTON","USA","3091","76996","24.91","70"
"213","QINGDAO UNIVERSITY","CHINA MAINLAND","3459","76895","22.23","172"
"214","CARNEGIE MELLON UNIVERSITY","USA","2944","76672","26.04","77"
"215","UNIVERSIDAD POLITECNICA DE MADRID","SPAIN","5633","76655","13.61","30"
"216","XI'AN UNIVERSITY OF ARCHITECTURE & TECHNOLOGY","CHINA MAINLAND","5178","76584","14.79","57"
"217","COMMONWEALTH SCIENTIFIC & INDUSTRIAL RESEARCH ORGANISATION (CSIRO)","AUSTRALIA","2705","75807","28.02","71"
"218","UNIVERSIDADE DE SAO PAULO","BRAZIL","5461","75690","13.86","27"
"219","NATIONAL CHENG KUNG UNIVERSITY","TAIWAN","5126","75671","14.76","55"
"220","HEBEI UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","5447","75515","13.86","77"
"221","COMMUNAUTE UNIVERSITE GRENOBLE ALPES","FRANCE","4604","75247","16.34","44"
"222","UNIVERSITY OF MISSOURI SYSTEM","USA","3985","75202","18.87","40"
"223","UNIVERSITY OF CALIFORNIA LOS ANGELES","USA","3218","75157","23.36","74"
"224","UNITED STATES DEPARTMENT OF DEFENSE","USA","5488","74840","13.64","31"
"225","UNIVERSITY OF WASHINGTON SEATTLE","USA","2952","74776","25.33","69"
"226","SOUTHWEST PETROLEUM UNIVERSITY","CHINA MAINLAND","5260","74132","14.09","55"
"227","TAIYUAN UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","5353","74092","13.84","63"
"228","NATIONAL TECHNICAL UNIVERSITY OF ATHENS","GREECE","3817","74076","19.41","30"
"229","UNIVERSITE DE TOULOUSE","FRANCE","4538","74043","16.32","41"
"230","NANJING FORESTRY UNIVERSITY","CHINA MAINLAND","3874","73720","19.03","95"
"231","QUEENSLAND UNIVERSITY OF TECHNOLOGY (QUT)","AUSTRALIA","3117","73328","23.53","55"
"232","UNIVERSITE GRENOBLE ALPES (UGA)","FRANCE","4481","73138","16.32","44"
"233","UNIVERSITY OF SEVILLA","SPAIN","4293","73019","17.01","45"
"234","YANSHAN UNIVERSITY","CHINA MAINLAND","5999","72937","12.16","64"
"235","TARBIAT MODARES UNIVERSITY","IRAN","3606","72497","20.10","42"
"236","DUY TAN UNIVERSITY","VIETNAM","2146","72332","33.71","86"
"237","OHIO STATE UNIVERSITY","USA","3518","72070","20.49","45"
"238","UNIVERSITY OF WISCONSIN MADISON","USA","3655","71648","19.60","46"
"239","VIT VELLORE","INDIA","4535","71366","15.74","70"
"240","NATIONAL UNIVERSITY OF SCIENCES & TECHNOLOGY - PAKISTAN","PAKISTAN","4061","71331","17.56","64"
"241","UNIVERSITY OF LIVERPOOL","ENGLAND","3460","71276","20.60","69"
"242","CRANFIELD UNIVERSITY","ENGLAND","3006","71171","23.68","65"
"243","MCGILL UNIVERSITY","CANADA","3586","71126","19.83","48"
"244","KUNMING UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","4875","71108","14.59","75"
"245","INSTITUTE OF AUTOMATION, CAS","CHINA MAINLAND","3197","70816","22.15","81"
"246","UNIVERSITY OF COLORADO SYSTEM","USA","3885","70757","18.21","45"
"247","INDIAN INSTITUTE OF TECHNOLOGY (IIT) - MADRAS","INDIA","5563","70150","12.61","25"
"248","UNIVERSITY OF MINNESOTA SYSTEM","USA","3437","69922","20.34","46"
"249","JIANGNAN UNIVERSITY","CHINA MAINLAND","4192","69845","16.66","94"
"250","UNIVERSITI SAINS MALAYSIA","MALAYSIA","3465","69337","20.01","68"
"251","DEAKIN UNIVERSITY","AUSTRALIA","2985","69273","23.21","71"
"252","UNIVERSITY OF NORTH CAROLINA","USA","2864","68684","23.98","50"
"253","NANJING UNIVERSITY OF POSTS & TELECOMMUNICATIONS","CHINA MAINLAND","5278","68644","13.01","87"
"254","UNIVERSITY OF WESTERN AUSTRALIA","AUSTRALIA","3165","68478","21.64","45"
"255","NATIONAL TAIWAN UNIVERSITY","TAIWAN","4962","68280","13.76","24"
"256","NANJING UNIVERSITY OF INFORMATION SCIENCE & TECHNOLOGY","CHINA MAINLAND","4152","68122","16.41","73"
"257","UNIVERSITY OF MINNESOTA TWIN CITIES","USA","3278","68016","20.75","45"
"258","AGENCY FOR SCIENCE TECHNOLOGY & RESEARCH (A*STAR)","SINGAPORE","2738","67995","24.83","66"
"259","MAX PLANCK SOCIETY","GERMANY (FED REP GER)","3232","67911","21.01","66"
"260","SEJONG UNIVERSITY","SOUTH KOREA","3478","67851","19.51","82"
"261","UNIVERSITY OF EDINBURGH","SCOTLAND","3415","67804","19.85","55"
"262","UNIVERSITY OF AUCKLAND","NEW ZEALAND","3168","67664","21.36","49"
"263","SUNGKYUNKWAN UNIVERSITY (SKKU)","SOUTH KOREA","4760","67595","14.20","43"
"264","UNIVERSITY OF BOLOGNA","ITALY","4111","67199","16.35","24"
"265","NEW YORK UNIVERSITY","USA","2371","67080","28.29","45"
"266","MICROSOFT","USA","825","66918","81.11","42"
"267","FACEBOOK INC","USA","258","66805","258.93","18"
"268","BRUNEL UNIVERSITY","ENGLAND","2538","66171","26.07","54"
"269","LOUGHBOROUGH UNIVERSITY","ENGLAND","3016","65959","21.87","48"
"270","INDIAN INSTITUTE OF TECHNOLOGY (IIT) - BOMBAY","INDIA","4565","65657","14.38","23"
"271","LUND UNIVERSITY","SWEDEN","3192","65401","20.49","43"
"272","TECHNICAL UNIVERSITY OF BERLIN","GERMANY (FED REP GER)","3405","65088","19.12","53"
"273","UNIVERSITAT POLITECNICA DE VALENCIA","SPAIN","4594","64453","14.03","24"
"274","DONGHUA UNIVERSITY","CHINA MAINLAND","3441","64378","18.71","76"
"275","CHANGSHA UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","4145","64191","15.49","72"
"276","UNIVERSITY OF WARWICK","ENGLAND","2980","64017","21.48","57"
"277","FRAUNHOFER GERMANY","GERMANY (FED REP GER)","3324","63735","19.17","58"
"278","CEA","FRANCE","4386","63605","14.50","30"
"279","PRINCETON UNIVERSITY","USA","2677","63513","23.73","47"
"280","UNIVERSITY OF CALGARY","CANADA","3710","63294","17.06","35"
"281","UNIV LILLE NORD FRANCE COMUE","N/A","4242","63223","14.90","28"
"282","JINAN UNIVERSITY","CHINA MAINLAND","3224","62818","19.48","62"
"283","UNIVERSITY OF COLORADO BOULDER","USA","3191","62759","19.67","42"
"284","QATAR FOUNDATION (QF)","QATAR","2541","62739","24.69","53"
"285","CARDIFF UNIVERSITY","WALES","2850","62626","21.97","46"
"286","XI'AN UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","4959","62549","12.61","61"
"287","INSTITUTE OF SCIENCE TOKYO","JAPAN","3833","62283","16.25","26"
"288","UNIV LYON COMUE","N/A","4447","61949","13.93","16"
"289","KING KHALID UNIVERSITY","SAUDI ARABIA","4899","61706","12.60","110"
"290","PRINCE SATTAM BIN ABDULAZIZ UNIVERSITY","SAUDI ARABIA","4089","61692","15.09","67"
"291","QINGDAO UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","2978","61283","20.58","80"
"292","TOHOKU UNIVERSITY","JAPAN","3857","61252","15.88","45"
"293","TOKYO INSTITUTE OF TECHNOLOGY","JAPAN","3704","61212","16.53","25"
"294","IOWA STATE UNIVERSITY","USA","2918","60650","20.78","43"
"295","GRIFFITH UNIVERSITY","AUSTRALIA","1949","60622","31.10","47"
"296","OCEAN UNIVERSITY OF CHINA","CHINA MAINLAND","3787","60272","15.92","65"
"297","HANGZHOU DIANZI UNIVERSITY","CHINA MAINLAND","5179","60261","11.64","49"
"298","BABOL NOSHIRVANI UNIVERSITY OF TECHNOLOGY","IRAN","2381","60061","25.23","53"
"299","YEUNGNAM UNIVERSITY","SOUTH KOREA","3268","59976","18.35","66"
