Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): PHYSICS   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"77","UNIVERSITY OF TEXAS AUSTIN","USA","5644","178430","31.61","194"
"78","UNIVERSITY OF PISA","ITALY","4689","177710","37.90","155"
"79","NORTHWESTERN UNIVERSITY","USA","3672","177174","48.25","155"
"80","OHIO STATE UNIVERSITY","USA","5188","175716","33.87","144"
"81","NATIONAL UNIVERSITY OF SINGAPORE","SINGAPORE","5870","175571","29.91","250"
"82","UNIVERSITY OF HAMBURG","GERMANY (FED REP GER)","5113","175549","34.33","148"
"83","HUN-REN","HUNGARY","5723","175512","30.67","107"
"84","ECOLE POLYTECHNIQUE","FRANCE","6905","174738","25.31","129"
"85","OAK RIDGE NATIONAL LABORATORY","USA","6331","174479","27.56","158"
"86","UNIVERSITY OF NAPLES FEDERICO II","ITALY","5105","174294","34.14","158"
"87","JOHANNES GUTENBERG UNIVERSITY OF MAINZ","GERMANY (FED REP GER)","5328","173869","32.63","195"
"88","UK RESEARCH & INNOVATION (UKRI)","ENGLAND","5456","171160","31.37","139"
"89","CORNELL UNIVERSITY","USA","4261","170851","40.10","187"
"90","UNIVERSITY OF COLORADO SYSTEM","USA","5502","169928","30.88","158"
"91","INSTITUTE OF PHYSICS, CAS","CHINA MAINLAND","7149","168755","23.61","200"
"92","UNIVERSITY OF GLASGOW","SCOTLAND","4078","168736","41.38","174"
"93","UNIVERSITY OF MINNESOTA SYSTEM","USA","4321","167225","38.70","128"
"94","UNIVERSITY OF MUNICH","GERMANY (FED REP GER)","4781","166172","34.76","180"
"95","NATIONAL RESEARCH NUCLEAR UNIVERSITY MEPHI (MOSCOW ENGINEERING PHYSICS INSTITUTE)","RUSSIA","7475","165514","22.14","104"
"96","UNIVERSITY OF MINNESOTA TWIN CITIES","USA","4238","165497","39.05","128"
"97","UNIVERSITY OF CALIFORNIA LOS ANGELES","USA","5496","164433","29.92","189"
"98","SCIENCE & TECHNOLOGY FACILITIES COUNCIL (STFC)","ENGLAND","5076","163928","32.29","138"
"99","UNIVERSITY OF COLORADO BOULDER","USA","5173","163878","31.68","153"
"100","UNIVERSITY OF TORONTO","CANADA","3964","163553","41.26","170"
"101","UNIVERSITY OF SOUTHAMPTON","ENGLAND","4508","163497","36.27","136"
"102","PENNSYLVANIA STATE UNIVERSITY","USA","4200","163329","38.89","184"
"103","KARLSRUHE INSTITUTE OF TECHNOLOGY","GERMANY (FED REP GER)","6144","163290","26.58","131"
"104","BARCELONA INSTITUTE OF SCIENCE & TECHNOLOGY","SPAIN","3833","162841","42.48","178"
"105","UNIVERSITY OF BIRMINGHAM","ENGLAND","3679","162743","44.24","187"
"106","AUTONOMOUS UNIVERSITY OF MADRID","SPAIN","4856","162531","33.47","156"
"107","FOM (THE NETHERLANDS)","N/A","3308","162355","49.08","162"
"108","STFC RUTHERFORD APPLETON LABORATORY","ENGLAND","4940","161845","32.76","137"
"109","SEOUL NATIONAL UNIVERSITY (SNU)","SOUTH KOREA","5809","161801","27.85","108"
"110","FUDAN UNIVERSITY","CHINA MAINLAND","8563","161792","18.89","197"
"111","RUPRECHT KARLS UNIVERSITY HEIDELBERG","GERMANY (FED REP GER)","4890","161265","32.98","145"
"112","PENNSYLVANIA STATE UNIVERSITY - UNIVERSITY PARK","USA","3990","159896","40.07","183"
"113","UNIVERSITY OF WISCONSIN MADISON","USA","5387","158078","29.34","140"
"114","CZECH ACADEMY OF SCIENCES","CZECH REPUBLIC","7112","157739","22.18","125"
"115","JOINT INSTITUTE FOR NUCLEAR RESEARCH - RUSSIA","RUSSIA","7974","156817","19.67","101"
"116","TOHOKU UNIVERSITY","JAPAN","8209","155746","18.97","105"
"117","UNIVERSITY OF BOLOGNA","ITALY","5003","155730","31.13","151"
"118","NATIONAL INSTITUTE FOR MATERIALS SCIENCE","JAPAN","4851","155367","32.03","245"
"119","SUN YAT SEN UNIVERSITY","CHINA MAINLAND","7953","154322","19.40","195"
"120","NATIONAL INSTITUTE OF STANDARDS & TECHNOLOGY (NIST) - USA","USA","4606","153038","33.23","194"
"121","YALE UNIVERSITY","USA","4262","152794","35.85","173"
"122","UNIV LYON COMUE","N/A","5442","152434","28.01","95"
"123","MOSCOW INSTITUTE OF PHYSICS & TECHNOLOGY","RUSSIA","7524","151825","20.18","90"
"124","INSTITUTE OF HIGH ENERGY PHYSICS, CAS","CHINA MAINLAND","6790","151600","22.33","144"
"125","COLLABORATIVE INNOVATION CENTER OF QUANTUM MATTER","CHINA MAINLAND","4219","151547","35.92","150"
"126","LOS ALAMOS NATIONAL LABORATORY","USA","6282","151355","24.09","131"
"127","HUN-REN WIGNER RESEARCH CENTRE FOR PHYSICS","HUNGARY","4220","151326","35.86","94"
"128","UNIVERSITY OF ROME TOR VERGATA","ITALY","3802","151316","39.80","134"
"129","UNIVERSITY OF OSAKA","JAPAN","8292","151261","18.24","115"
"130","UNIVERSITY OF BRITISH COLUMBIA","CANADA","4661","151167","32.43","135"
"131","UNIVERSITY OF CALIFORNIA SAN DIEGO","USA","5160","150918","29.25","134"
"132","TECHNICAL UNIVERSITY OF MUNICH","GERMANY (FED REP GER)","6078","150388","24.74","142"
"133","FOM NATIONAL INSTITUTE FOR SUBATOMIC PHYSICS","NETHERLANDS","2972","148732","50.04","145"
"134","UNIVERSITY OF GENOA","ITALY","4044","148359","36.69","130"
"135","UNIVERSITY OF ZURICH","SWITZERLAND","3531","146832","41.58","147"
"136","NANYANG TECHNOLOGICAL UNIVERSITY","SINGAPORE","4925","145550","29.55","183"
"137","BEIHANG UNIVERSITY","CHINA MAINLAND","8008","144519","18.05","120"
"138","UNIVERSITY OF MASSACHUSETTS SYSTEM","USA","3749","143619","38.31","139"
"139","PURDUE UNIVERSITY SYSTEM","USA","5135","142976","27.84","107"
"140","UNIVERSITY OF GENEVA","SWITZERLAND","4211","142759","33.90","169"
"141","PURDUE UNIVERSITY","USA","5086","142128","27.94","107"
"142","UNIVERSITY OF MANCHESTER","ENGLAND","5134","141799","27.62","154"
"143","ICREA","SPAIN","3091","141417","45.75","141"
"144","UNIVERSITY OF VALENCIA","SPAIN","4030","141308","35.06","122"
"145","NAGOYA UNIVERSITY","JAPAN","6181","140723","22.77","112"
"146","AIX-MARSEILLE UNIVERSITE","FRANCE","5580","139412","24.98","128"
"147","UNIVERSITY OF COPENHAGEN","DENMARK","4090","139163","34.03","152"
"148","UNIVERSITY SYSTEM OF GEORGIA","USA","4258","139142","32.68","124"
"149","UNIVERSIDADE DE LISBOA","PORTUGAL","5314","138814","26.12","123"
"150","STONY BROOK UNIVERSITY","USA","4374","138096","31.57","152"
"151","SHANDONG UNIVERSITY","CHINA MAINLAND","7251","137882","19.02","148"
"152","AUSTRALIAN NATIONAL UNIVERSITY","AUSTRALIA","3086","137325","44.50","153"
"153","COLLABORATIVE INNOVATION CENTER OF ADVANCED MICROSTRUCTURES (CICAM)","CHINA MAINLAND","5037","137047","27.21","176"
"154","UNIVERSITY OF SHEFFIELD","ENGLAND","2772","136338","49.18","123"
"155","UNIVERSITY OF TRENTO","ITALY","3489","135991","38.98","120"
"156","MICHIGAN STATE UNIVERSITY","USA","4587","135642","29.57","113"
"157","UNIVERSITE SAVOIE MONT BLANC","FRANCE","3277","135282","41.28","136"
"158","RWTH AACHEN UNIVERSITY","GERMANY (FED REP GER)","4419","134718","30.49","113"
"159","CALIFORNIA STATE UNIVERSITY SYSTEM","USA","3651","134455","36.83","122"
"160","KING'S COLLEGE LONDON","ENGLAND","3001","133433","44.46","125"
"161","UNIVERSITY OF TENNESSEE SYSTEM","USA","4381","133359","30.44","110"
"162","WEIZMANN INSTITUTE OF SCIENCE","ISRAEL","3759","133224","35.44","141"
"163","UNIVERSITY OF TENNESSEE KNOXVILLE","USA","4307","132488","30.76","109"
"164","NOVOSIBIRSK STATE UNIVERSITY","RUSSIA","5294","132430","25.02","98"
"165","MONASH UNIVERSITY","AUSTRALIA","2790","132273","47.41","131"
"166","RUSSIAN ACADEMY OF SCIENCE LEBEDEV PHYSICAL INSTITUTE","RUSSIA","6999","131914","18.85","87"
"167","RESEARCH CENTER JULICH","GERMANY (FED REP GER)","4901","130598","26.65","104"
"168","BOSTON UNIVERSITY","USA","3948","129621","32.83","101"
"169","UNIVERSITY OF MELBOURNE","AUSTRALIA","3115","129450","41.56","120"
"170","CSIC - INSTITUTO DE FISICA CORPUSCULAR (IFIC)","SPAIN","3992","129431","32.42","120"
"171","UNIVERSITY OF WARSAW","POLAND","4441","129045","29.06","97"
"172","UNIVERSITE CLAUDE BERNARD LYON 1","FRANCE","3902","127544","32.69","78"
"173","ROYAL INSTITUTE OF TECHNOLOGY","SWEDEN","5329","127130","23.86","100"
"174","NATIONAL CENTRE FOR NUCLEAR RESEARCH","POLAND","3788","126994","33.53","112"
"175","UNIVERSITY OF FLORIDA","USA","3225","126449","39.21","115"
"176","SIBERIAN BRANCH OF THE RUSSIAN ACADEMY OF SCIENCES","RUSSIA","8554","125807","14.71","82"
"177","DUKE UNIVERSITY","USA","3417","125633","36.77","145"
"178","TATA INSTITUTE OF FUNDAMENTAL RESEARCH (TIFR)","INDIA","3914","125511","32.07","82"
"179","PETERSBURG NUCLEAR PHYSICS INSTITUTE","RUSSIA","4193","125286","29.88","86"
"180","HIGH ENERGY ACCELERATOR RESEARCH ORGANIZATION (KEK)","JAPAN","4712","125233","26.58","112"
"181","UNIV BRETAGNE LOIRE","N/A","4715","124999","26.51","97"
"182","UNIVERSIDADE DE SAO PAULO","BRAZIL","6286","124862","19.86","92"
"183","UNIVERSITY OF LIVERPOOL","ENGLAND","3990","124686","31.25","113"
"184","NIELS BOHR INSTITUTE","DENMARK","3564","124476","34.93","136"
"185","UNIVERSITY OF PENNSYLVANIA","USA","3145","124451","39.57","145"
"186","LAWRENCE LIVERMORE NATIONAL LABORATORY","USA","5225","123453","23.63","98"
"187","FERMI NATIONAL ACCELERATOR LABORATORY","USA","3389","122847","36.25","116"
"188","STOCKHOLM UNIVERSITY","SWEDEN","3495","122831","35.14","129"
"189","TEL AVIV UNIVERSITY","ISRAEL","4208","122649","29.15","120"
"190","TECHNISCHE UNIVERSITAT DRESDEN","GERMANY (FED REP GER)","4808","121873","25.35","107"
"191","RADBOUD UNIVERSITY NIJMEGEN","NETHERLANDS","2602","121867","46.84","113"
"192","UNIVERSITY OF WARWICK","ENGLAND","3823","121600","31.81","104"
"193","UNIVERSITY OF MASSACHUSETTS AMHERST","USA","2701","121386","44.94","123"
"194","UPPSALA UNIVERSITY","SWEDEN","5451","121184","22.23","104"
"195","UNIVERSITY OF AMSTERDAM","NETHERLANDS","3160","120453","38.12","125"
"196","HARBIN INSTITUTE OF TECHNOLOGY","CHINA MAINLAND","8128","119599","14.71","126"
"197","BUDKER INSTITUTE OF NUCLEAR PHYSICS","RUSSIA","3379","119577","35.39","92"
"198","UNIVERSITY OF BRISTOL","ENGLAND","3664","118638","32.38","112"
"199","ECOLE NORMALE SUPERIEURE (ENS)","FRANCE","3047","118547","38.91","100"
"200","XI'AN JIAOTONG UNIVERSITY","CHINA MAINLAND","8587","117961","13.74","97"
"201","ALIKHANOV INSTITUTE FOR THEORETICAL & EXPERIMENTAL PHYSICS","RUSSIA","3611","117388","32.51","82"
"202","INSTITUTE OF SCIENCE TOKYO","JAPAN","5507","115806","21.03","96"
"203","PAUL SCHERRER INSTITUTE","SWITZERLAND","4648","115462","24.84","104"
"204","CHARLES UNIVERSITY PRAGUE","CZECH REPUBLIC","4750","115096","24.23","84"
"205","LUND UNIVERSITY","SWEDEN","4100","114993","28.05","79"
"206","UNIVERSITY OF BONN","GERMANY (FED REP GER)","3717","114859","30.90","105"
"207","INSTITUTE OF NUCLEAR PHYSICS - POLISH ACADEMY OF SCIENCES","POLAND","4535","114760","25.31","109"
"208","TOKYO INSTITUTE OF TECHNOLOGY","JAPAN","5382","114722","21.32","96"
"209","TEXAS A&M UNIVERSITY SYSTEM","USA","5493","114505","20.85","85"
"210","NATIONAL TSING HUA UNIVERSITY","TAIWAN","3165","114473","36.17","99"
"211","JOHNS HOPKINS UNIVERSITY","USA","3261","114454","35.10","92"
"212","AUTONOMOUS UNIVERSITY OF BARCELONA","SPAIN","3334","114299","34.28","104"
"213","INSTITUTE OF PHYSICS OF THE CZECH ACADEMY OF SCIENCES","CZECH REPUBLIC","4317","113574","26.31","102"
"214","PERIMETER INSTITUTE FOR THEORETICAL PHYSICS","CANADA","3247","113355","34.91","123"
"215","UNIVERSITY OF CALIFORNIA IRVINE","USA","3387","112974","33.36","112"
"216","GEORGIA INSTITUTE OF TECHNOLOGY","USA","2886","112467","38.97","97"
"217","NATIONAL AERONAUTICS & SPACE ADMINISTRATION (NASA)","USA","2684","112343","41.86","120"
"218","CNRS - INSTITUTE FOR ENGINEERING & SYSTEMS SCIENCES (INSIS)","FRANCE","5692","110972","19.50","76"
"219","UNIVERSITY OF ADELAIDE","AUSTRALIA","2416","110706","45.82","106"
"220","TECHNISCHE UNIVERSITAT WIEN","AUSTRIA","4500","110664","24.59","76"
"221","NATIONAL ACADEMY OF SCIENCES UKRAINE","UKRAINE","7798","109990","14.10","74"
"222","SCUOLA NORMALE SUPERIORE DI PISA","ITALY","2704","109909","40.65","95"
"223","UNIVERSITY OF MILAN","ITALY","3920","109828","28.02","110"
"224","HUMBOLDT UNIVERSITY OF BERLIN","GERMANY (FED REP GER)","3537","109309","30.90","93"
"225","UNIVERSITY OF ROCHESTER","USA","3935","109048","27.71","92"
"226","INDIANA UNIVERSITY SYSTEM","USA","3344","108710","32.51","96"
"227","UNIVERSITY OF MILANO-BICOCCA","ITALY","3633","107731","29.65","104"
"228","INSTITUTE OF HIGH ENERGY PHYSICS - IHEP","RUSSIA","2619","107481","41.04","79"
"229","UNIVERSITE LIBRE DE BRUXELLES","BELGIUM","3322","107444","32.34","80"
"230","AUSTRIAN ACADEMY OF SCIENCES","AUSTRIA","2811","107345","38.19","107"
"231","TEXAS A&M UNIVERSITY COLLEGE STATION","USA","5080","107046","21.07","80"
"232","UNIVERSITY OF TURIN","ITALY","3877","106083","27.36","78"
"233","SHENZHEN UNIVERSITY","CHINA MAINLAND","4885","105982","21.70","118"
"234","INDIANA UNIVERSITY BLOOMINGTON","USA","3156","105970","33.58","93"
"235","INSTITUT NATIONAL POLYTECHNIQUE DE GRENOBLE","FRANCE","4282","105938","24.74","92"
"236","HONG KONG UNIVERSITY OF SCIENCE & TECHNOLOGY","HONG KONG","3407","105251","30.89","100"
"237","CHINESE UNIVERSITY OF HONG KONG","HONG KONG","2743","104388","38.06","106"
"238","SOUTHEAST UNIVERSITY - CHINA","CHINA MAINLAND","6183","104048","16.83","109"
"239","RUTGERS UNIVERSITY SYSTEM","USA","3539","103935","29.37","67"
"240","RUTGERS UNIVERSITY NEW BRUNSWICK","USA","3526","103790","29.44","67"
"241","UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA","CHINA MAINLAND","6389","103737","16.24","114"
"242","FLORIDA STATE UNIVERSITY","USA","3570","103485","28.99","73"
"243","NATIONAL TAIWAN UNIVERSITY","TAIWAN","4399","103242","23.47","80"
"244","UNIVERSITY OF PERUGIA","ITALY","2636","103241","39.17","88"
"245","GSI HELMHOLTZ-CENTER FOR HEAVY ION RESEARCH","GERMANY (FED REP GER)","4427","102947","23.25","71"
"246","UNIVERSITAT POLITECNICA DE CATALUNYA","SPAIN","3288","102255","31.10","109"
"247","UNIVERSITY OF CALIFORNIA DAVIS","USA","3331","102140","30.66","81"
"248","BROWN UNIVERSITY","USA","2438","101349","41.57","84"
"249","HORIA HULUBEI NATIONAL INSTITUTE OF PHYSICS & NUCLEAR ENGINEERING","ROMANIA","4425","100888","22.80","86"
"250","CITY UNIVERSITY OF NEW YORK (CUNY) SYSTEM","USA","2996","100818","33.65","121"
"251","UNIVERSITY OF BARCELONA","SPAIN","3062","100566","32.84","107"
"252","JILIN UNIVERSITY","CHINA MAINLAND","5862","99928","17.05","123"
"253","GHENT UNIVERSITY","BELGIUM","3333","99510","29.86","68"
"254","UNIVERSITY OF PITTSBURGH","USA","2792","99325","35.57","89"
"255","UNIVERSITY OF HONG KONG","HONG KONG","3283","98428","29.98","117"
"256","SYRACUSE UNIVERSITY","USA","1357","98084","72.28","99"
"257","UNIVERSITY OF INNSBRUCK","AUSTRIA","2713","97124","35.80","111"
"258","TECHNION ISRAEL INSTITUTE OF TECHNOLOGY","ISRAEL","3679","96922","26.34","111"
"259","OBSERVATOIRE DE PARIS","FRANCE","1965","96772","49.25","101"
"260","UNIVERSITY OF OREGON","USA","1687","96741","57.34","99"
"261","INTERNATIONAL SCHOOL FOR ADVANCED STUDIES (SISSA)","ITALY","2678","96574","36.06","94"
"262","EOTVOS LORAND UNIVERSITY","HUNGARY","2420","96347","39.81","77"
"263","SOOCHOW UNIVERSITY - CHINA","CHINA MAINLAND","4575","95917","20.97","98"
"264","HANYANG UNIVERSITY","SOUTH KOREA","3318","95685","28.84","59"
"265","KING ABDULAZIZ UNIVERSITY","SAUDI ARABIA","3561","95671","26.87","74"
"266","UNIVERSITY OF TSUKUBA","JAPAN","4409","94370","21.40","66"
"267","UNIVERSITY OF PAVIA","ITALY","3501","94305","26.94","72"
"268","ACADEMIA SINICA - TAIWAN","TAIWAN","3249","94097","28.96","95"
"269","UNIVERSITY OF BERN","SWITZERLAND","2551","93162","36.52","93"
"270","NANKAI UNIVERSITY","CHINA MAINLAND","4608","92946","20.17","99"
"271","NATIONAL & KAPODISTRIAN UNIVERSITY OF ATHENS","GREECE","3376","92737","27.47","57"
"272","WUHAN UNIVERSITY","CHINA MAINLAND","4793","92369","19.27","116"
"273","UNIVERSITY OF SYDNEY","AUSTRALIA","3395","92307","27.19","83"
"274","UNIVERSITY OF BELGRADE","SERBIA","3793","92043","24.27","63"
"275","LOUISIANA STATE UNIVERSITY SYSTEM","USA","1731","91855","53.06","76"
"276","SLOVENIAN ACADEMY OF SCIENCES & ARTS (SASA)","SLOVENIA","3149","91822","29.16","82"
"277","JOZEF STEFAN INSTITUTE","SLOVENIA","3147","91818","29.18","82"
"278","UNITED STATES DEPARTMENT OF DEFENSE","USA","4761","90820","19.08","60"
"279","CARNEGIE MELLON UNIVERSITY","USA","2849","90165","31.65","79"
"280","UNIVERSITY OF WURZBURG","GERMANY (FED REP GER)","2988","90012","30.12","92"
"281","SUNGKYUNKWAN UNIVERSITY (SKKU)","SOUTH KOREA","4062","89976","22.15","83"
"282","RICE UNIVERSITY","USA","2960","89674","30.30","92"
"283","TIANJIN UNIVERSITY","CHINA MAINLAND","5881","89557","15.23","90"
"284","LEIBNIZ ASSOCIATION","GERMANY (FED REP GER)","4589","89155","19.43","72"
"285","UNIVERSITY OF ARIZONA","USA","3483","89025","25.56","98"
"286","DURHAM UNIVERSITY","ENGLAND","2670","88756","33.24","77"
"287","IOWA STATE UNIVERSITY","USA","3247","88510","27.26","72"
"288","TECHNICAL UNIVERSITY OF DENMARK","DENMARK","3427","88208","25.74","66"
"289","NEW YORK UNIVERSITY","USA","3231","88153","27.28","91"
"290","MCGILL UNIVERSITY","CANADA","3348","87731","26.20","85"
"291","UNIVERSITY OF MISSISSIPPI","USA","1520","87477","57.55","73"
"292","KOREA UNIVERSITY","SOUTH KOREA","4007","87425","21.82","71"
"293","BEIJING INSTITUTE OF TECHNOLOGY","CHINA MAINLAND","5861","86850","14.82","109"
"294","ISLAMIC AZAD UNIVERSITY","IRAN","4608","86323","18.73","25"
"295","UNIVERSITY OF GOTTINGEN","GERMANY (FED REP GER)","2482","86234","34.74","81"
"296","ABDUS SALAM INTERNATIONAL CENTRE FOR THEORETICAL PHYSICS (ICTP)","ITALY","2980","86054","28.88","88"
"297","NORTHWESTERN POLYTECHNICAL UNIVERSITY","CHINA MAINLAND","5277","85892","16.28","102"
"298","UNIVERSITY OF STRATHCLYDE","SCOTLAND","2164","85782","39.64","68"
"299","BULGARIAN ACADEMY OF SCIENCES","BULGARIA","2918","85657","29.35","56"
"300","UNIVERSITY OF ALABAMA SYSTEM","USA","2304","85473","37.10","50"
"301","UNIVERSITY OF SUSSEX","ENGLAND","1936","85415","44.12","85"
"302","LEIBNIZ UNIVERSITY HANNOVER","GERMANY (FED REP GER)","2126","85353","40.15","90"
"303","AGH UNIVERSITY OF KRAKOW","POLAND","3802","85335","22.44","86"
"304","QUEEN MARY UNIVERSITY LONDON","ENGLAND","2826","85128","30.12","93"
"305","UNIVERSITY OF HELSINKI","FINLAND","2851","85001","29.81","46"
"306","UNIVERSITY OF GRONINGEN","NETHERLANDS","2822","84761","30.04","100"
